ENSDARG00000088995|ENSDART00000122214|CABZ01030692.1|
ENSDARG00000090219|ENSDART00000130229|wdr45|
ENSDARG00000043037|ENSDART00000149820|abcg2a|
ENSDARG00000043037|ENSDART00000063180|abcg2a|
ENSDARG00000069270|ENSDART00000100669|CR847931.1|
ENSDARG00000011371|ENSDART00000143537|zgc:64106|
ENSDARG00000011371|ENSDART00000141990|zgc:64106|
ENSDARG00000011371|ENSDART00000024248|zgc:64106|
ENSDARG00000017537|ENSDART00000024358|prkag3|
ENSDARG00000017537|ENSDART00000136060|prkag3|
ENSDARG00000017537|ENSDART00000132675|prkag3|
ENSDARG00000017537|ENSDART00000145809|prkag3|
ENSDARG00000017537|ENSDART00000139723|prkag3|
ENSDARG00000017537|ENSDART00000126468|prkag3|
ENSDARG00000024966|ENSDART00000009796|MARK4 (1 of 2)|
ENSDARG00000054033|ENSDART00000136415|hoxb1b|
ENSDARG00000054033|ENSDART00000076163|hoxb1b|
ENSDARG00000061591|ENSDART00000135992|abcb10|
ENSDARG00000061591|ENSDART00000088005|abcb10|
ENSDARG00000059642|ENSDART00000083085|mtmr14|
ENSDARG00000040565|ENSDART00000059366|ckmb|
ENSDARG00000040565|ENSDART00000137495|ckmb|
ENSDARG00000040565|ENSDART00000128644|ckmb|
ENSDARG00000062024|ENSDART00000139196|kif1ab|
ENSDARG00000062024|ENSDART00000089012|kif1ab|
ENSDARG00000020957|ENSDART00000147808|pth1ra|
ENSDARG00000020957|ENSDART00000101033|pth1ra|
ENSDARG00000006447|ENSDART00000059204||
ENSDARG00000078758|ENSDART00000097722|CABZ01063402.1|
ENSDARG00000093005|ENSDART00000139861|HTRA2 (25 of 31)|
ENSDARG00000093005|ENSDART00000140524|HTRA2 (25 of 31)|
ENSDARG00000093005|ENSDART00000143393|HTRA2 (25 of 31)|
ENSDARG00000019404|ENSDART00000019235|atp5d|
ENSDARG00000086250|ENSDART00000130154|PRKCA (1 of 2)|
ENSDARG00000015337|ENSDART00000140942|comta|
ENSDARG00000015337|ENSDART00000101376|comta|
ENSDARG00000015337|ENSDART00000014939|comta|
ENSDARG00000077903|ENSDART00000110293|zgc:194551|
ENSDARG00000074641|ENSDART00000113221|tfap4|
ENSDARG00000093333|ENSDART00000138429|si:dkey-38n4.2|
ENSDARG00000034211|ENSDART00000083351|capn2l|
ENSDARG00000040190|ENSDART00000058789|qdpra|
ENSDARG00000029219|ENSDART00000148769|AVPR2 (1 of 2)|
ENSDARG00000029219|ENSDART00000104545|AVPR2 (1 of 2)|
ENSDARG00000012499|ENSDART00000011082|per1b|
ENSDARG00000058676|ENSDART00000141951|baz2a|
ENSDARG00000058676|ENSDART00000135963|baz2a|
ENSDARG00000058676|ENSDART00000138313|baz2a|
ENSDARG00000058676|ENSDART00000141817|baz2a|
ENSDARG00000058676|ENSDART00000142747|baz2a|
ENSDARG00000058676|ENSDART00000131969|baz2a|
ENSDARG00000058676|ENSDART00000081773|baz2a|
ENSDARG00000058676|ENSDART00000126726|baz2a|
ENSDARG00000095011|ENSDART00000135931|si:ch211-67n3.9|
ENSDARG00000095011|ENSDART00000135481|si:ch211-67n3.9|
ENSDARG00000021539|ENSDART00000043756|ephb2b|
ENSDARG00000054744|ENSDART00000076996|AL928851.1|
ENSDARG00000090740|ENSDART00000128960|CR548626.3|
ENSDARG00000033056|ENSDART00000004518|zgc:171927|
ENSDARG00000070669|ENSDART00000146611|si:dkey-269d20.3|
ENSDARG00000070669|ENSDART00000103981|si:dkey-269d20.3|
ENSDARG00000078335|ENSDART00000141096|amot|
ENSDARG00000078335|ENSDART00000114778|amot|
ENSDARG00000058410|ENSDART00000140434|acbd5b|
ENSDARG00000058410|ENSDART00000081253|acbd5b|
ENSDARG00000061185|ENSDART00000086994|nat15|
ENSDARG00000094216|ENSDART00000148349|BX000701.3|
ENSDARG00000052255|ENSDART00000074077|TRIM35 (31 of 41)|
ENSDARG00000087816|ENSDART00000129133|BX000701.2|
ENSDARG00000086184|ENSDART00000129052|FBXO48|
ENSDARG00000086831|ENSDART00000127809|BX000701.1|
ENSDARG00000078734|ENSDART00000148304|myo1f|
ENSDARG00000078734|ENSDART00000113183|myo1f|
ENSDARG00000057448|ENSDART00000142777|SRCIN1 (2 of 2)|
ENSDARG00000057448|ENSDART00000137671|SRCIN1 (2 of 2)|
ENSDARG00000057448|ENSDART00000134875|SRCIN1 (2 of 2)|
ENSDARG00000057448|ENSDART00000126528|SRCIN1 (2 of 2)|
ENSDARG00000057448|ENSDART00000080125|SRCIN1 (2 of 2)|
ENSDARG00000037921|ENSDART00000055269|gng13b|
ENSDARG00000062020|ENSDART00000140908|si:dkey-265o13.4|
ENSDARG00000062020|ENSDART00000089150|si:dkey-265o13.4|
ENSDARG00000086579|ENSDART00000129213|APLF|
ENSDARG00000074182|ENSDART00000113853|prokr1a|
ENSDARG00000078258|ENSDART00000114210|GGT5 (1 of 3)|
ENSDARG00000007358|ENSDART00000145754|cxcr3.1|
ENSDARG00000007358|ENSDART00000028141|cxcr3.1|
ENSDARG00000019932|ENSDART00000048218|slc5a11|
ENSDARG00000071581|ENSDART00000144811|si:ch211-222k6.1|
ENSDARG00000071581|ENSDART00000106300|si:ch211-222k6.1|
ENSDARG00000022858|ENSDART00000142343|wnt7ba|
ENSDARG00000022858|ENSDART00000003156|wnt7ba|
ENSDARG00000007186|ENSDART00000003164|ppp1r8|
ENSDARG00000061830|ENSDART00000140263|prss12|
ENSDARG00000061830|ENSDART00000088653|prss12|
ENSDARG00000086181|ENSDART00000126452|BX005052.1|
ENSDARG00000031388|ENSDART00000144842|dctn2|
ENSDARG00000031388|ENSDART00000103144|dctn2|
ENSDARG00000031388|ENSDART00000042595|dctn2|
ENSDARG00000088227|ENSDART00000146785|tmem163b|
ENSDARG00000088227|ENSDART00000128176|tmem163b|
ENSDARG00000089947|ENSDART00000125947|BX005085.3|
ENSDARG00000039424|ENSDART00000057601|snrpb2|
ENSDARG00000062346|ENSDART00000132899|cacna1r|
ENSDARG00000062346|ENSDART00000139972|cacna1r|
ENSDARG00000062346|ENSDART00000089971|cacna1r|
ENSDARG00000093311|ENSDART00000141999|il17ra2|
ENSDARG00000093311|ENSDART00000131389|il17ra2|
ENSDARG00000075960|ENSDART00000141958|CDH24 (2 of 2)|
ENSDARG00000075960|ENSDART00000114959|CDH24 (2 of 2)|
ENSDARG00000005966|ENSDART00000142053|slc4a5|
ENSDARG00000005966|ENSDART00000013784|slc4a5|
ENSDARG00000093370|ENSDART00000142346|lrrc66|
ENSDARG00000018918|ENSDART00000132950|rad17|
ENSDARG00000018918|ENSDART00000004390|rad17|
ENSDARG00000012649|ENSDART00000115396|CT955987.1|
ENSDARG00000018891|ENSDART00000045894|rnaseh2a|
ENSDARG00000018891|ENSDART00000150846|rnaseh2a|
ENSDARG00000078366|ENSDART00000141086|robo2|
ENSDARG00000078366|ENSDART00000111030|robo2|
ENSDARG00000089449|ENSDART00000122011|KAZN (1 of 3)|
ENSDARG00000076483|ENSDART00000115301|zgc:198241|
ENSDARG00000028067|ENSDART00000030205|bnip3lb|
ENSDARG00000028067|ENSDART00000135786|bnip3lb|
ENSDARG00000070834|ENSDART00000104334|taf13|
ENSDARG00000090579|ENSDART00000122546|CT583700.1|
ENSDARG00000062662|ENSDART00000090864|LMOD3|
ENSDARG00000006601|ENSDART00000144115|KAZN (2 of 3)|
ENSDARG00000006601|ENSDART00000088888|KAZN (2 of 3)|
ENSDARG00000041575|ENSDART00000144606|trmt10c|
ENSDARG00000041575|ENSDART00000148162|trmt10c|
ENSDARG00000041575|ENSDART00000138032|trmt10c|
ENSDARG00000041575|ENSDART00000060954|trmt10c|
ENSDARG00000041575|ENSDART00000112581|trmt10c|
ENSDARG00000087318|ENSDART00000115045|zgc:174688|
ENSDARG00000017397|ENSDART00000109259|smarcc1a|
ENSDARG00000075539|ENSDART00000143545|snphb|
ENSDARG00000075539|ENSDART00000109537|snphb|
ENSDARG00000057767|ENSDART00000147024|nudt4a|
ENSDARG00000057767|ENSDART00000137681|nudt4a|
ENSDARG00000057767|ENSDART00000080517|nudt4a|
ENSDARG00000057767|ENSDART00000099944|nudt4a|
ENSDARG00000071085|ENSDART00000145595|GPR128 (1 of 2)|
ENSDARG00000071085|ENSDART00000104886|GPR128 (1 of 2)|
ENSDARG00000006773|ENSDART00000012053|elovl4a|
ENSDARG00000010658|ENSDART00000013785|insig1|
ENSDARG00000010658|ENSDART00000150139|insig1|
ENSDARG00000010658|ENSDART00000148601|insig1|
ENSDARG00000010658|ENSDART00000123062|insig1|
ENSDARG00000052550|ENSDART00000074425|nkx2.2b|
ENSDARG00000074776|ENSDART00000144711|tmem154|
ENSDARG00000074776|ENSDART00000112120|tmem154|
ENSDARG00000020521|ENSDART00000022163|exoc6|
ENSDARG00000020521|ENSDART00000125230|exoc6|
ENSDARG00000079484|ENSDART00000150936|kcnt1|
ENSDARG00000079484|ENSDART00000113556|kcnt1|
ENSDARG00000026052|ENSDART00000036153|ccdc3|
ENSDARG00000018814|ENSDART00000009698|esrp2|
ENSDARG00000018814|ENSDART00000075089|esrp2|
ENSDARG00000076388|ENSDART00000112492|zgc:194686|
ENSDARG00000044281|ENSDART00000123935|erbb2ip|
ENSDARG00000044281|ENSDART00000087680|erbb2ip|
ENSDARG00000044281|ENSDART00000122614|erbb2ip|
ENSDARG00000044281|ENSDART00000129441|erbb2ip|
ENSDARG00000088463|ENSDART00000128224|CLPB|
ENSDARG00000076270|ENSDART00000146364|adamts13|
ENSDARG00000076270|ENSDART00000110085|adamts13|
ENSDARG00000076270|ENSDART00000110310|adamts13|
ENSDARG00000094941|ENSDART00000147734|si:dkey-149i7.2|
ENSDARG00000092521|ENSDART00000144794|CR382283.2|
ENSDARG00000090232|ENSDART00000129455|CU633849.1|
ENSDARG00000092394|ENSDART00000142721|dcun1d4|
ENSDARG00000092394|ENSDART00000144933|dcun1d4|
ENSDARG00000094156|ENSDART00000136203|si:dkey-281a10.1|
ENSDARG00000016348|ENSDART00000044276|DIP2B (2 of 2)|
ENSDARG00000092352|ENSDART00000145478|wu:fa92h10|
ENSDARG00000058736|ENSDART00000124708|gabra6b|
ENSDARG00000071011|ENSDART00000104722|cdk5r2a|
ENSDARG00000093029|ENSDART00000145739|CR450729.2|
ENSDARG00000095723|ENSDART00000140070|BX548044.15|
ENSDARG00000060207|ENSDART00000132703|traf7|
ENSDARG00000060207|ENSDART00000143637|traf7|
ENSDARG00000060207|ENSDART00000084579|traf7|
ENSDARG00000088615|ENSDART00000097877|CR847899.1|
ENSDARG00000092167|ENSDART00000143549|si:ch211-272h9.5|
ENSDARG00000076530|ENSDART00000090862|zgc:172109|
ENSDARG00000074016|ENSDART00000108968|PTGFR (1 of 2)|
ENSDARG00000018306|ENSDART00000004249|srl|
ENSDARG00000018306|ENSDART00000123538|srl|
ENSDARG00000018306|ENSDART00000124828|srl|
ENSDARG00000018306|ENSDART00000129943|srl|
ENSDARG00000000690|ENSDART00000000744|sypl2b|
ENSDARG00000087607|ENSDART00000151207|SHF|
ENSDARG00000087607|ENSDART00000151026|SHF|
ENSDARG00000087607|ENSDART00000152112|SHF|
ENSDARG00000087607|ENSDART00000121949|SHF|
ENSDARG00000007406|ENSDART00000002384|phox2a|
ENSDARG00000077467|ENSDART00000112979|sox10|
ENSDARG00000006120|ENSDART00000122101|tbx2b|
ENSDARG00000006120|ENSDART00000005491|tbx2b|
ENSDARG00000093260|ENSDART00000135070|ELOVL4 (2 of 3)|
ENSDARG00000095828|ENSDART00000132784|trim66|
ENSDARG00000095828|ENSDART00000132316|trim66|
ENSDARG00000005092|ENSDART00000138669|cep89|
ENSDARG00000005092|ENSDART00000007365|cep89|
ENSDARG00000095358|ENSDART00000134170|CU207259.4|
ENSDARG00000094995|ENSDART00000141146|HTRA2 (15 of 31)|
ENSDARG00000094995|ENSDART00000140878|HTRA2 (15 of 31)|
ENSDARG00000008384|ENSDART00000148993|hdac6|
ENSDARG00000008384|ENSDART00000149671|hdac6|
ENSDARG00000008384|ENSDART00000104830|hdac6|
ENSDARG00000001498|ENSDART00000001737|skap1|
ENSDARG00000054272|ENSDART00000098889|caprin1b|
ENSDARG00000054272|ENSDART00000145383|caprin1b|
ENSDARG00000054272|ENSDART00000143016|caprin1b|
ENSDARG00000054272|ENSDART00000139519|caprin1b|
ENSDARG00000089601|ENSDART00000125067|plce1|
ENSDARG00000054696|ENSDART00000131715|psmb4|
ENSDARG00000054696|ENSDART00000076928|psmb4|
ENSDARG00000068800|ENSDART00000099626|HTRA2 (26 of 31)|
ENSDARG00000074642|ENSDART00000114268|BX072532.1|
ENSDARG00000074396|ENSDART00000111717|fscn2b|
ENSDARG00000018342|ENSDART00000150213|ggt1b|
ENSDARG00000018342|ENSDART00000042915|ggt1b|
ENSDARG00000037046|ENSDART00000138797|rad51b|
ENSDARG00000037046|ENSDART00000053847|rad51b|
ENSDARG00000071088|ENSDART00000146969|gpr128|
ENSDARG00000071088|ENSDART00000089330|gpr128|
ENSDARG00000045095|ENSDART00000066307|elac1|
ENSDARG00000045095|ENSDART00000149986|elac1|
ENSDARG00000045095|ENSDART00000148663|elac1|
ENSDARG00000030349|ENSDART00000041269|cryba2a|
ENSDARG00000030349|ENSDART00000150102|cryba2a|
ENSDARG00000030349|ENSDART00000148637|cryba2a|
ENSDARG00000030349|ENSDART00000149536|cryba2a|
ENSDARG00000010137|ENSDART00000015773|ldb1a|
ENSDARG00000010137|ENSDART00000150376|ldb1a|
ENSDARG00000010137|ENSDART00000132444|ldb1a|
ENSDARG00000010137|ENSDART00000002698|ldb1a|
ENSDARG00000010137|ENSDART00000126845|ldb1a|
ENSDARG00000055373|ENSDART00000139712|sema3fb|
ENSDARG00000055373|ENSDART00000031441|sema3fb|
ENSDARG00000055373|ENSDART00000077717|sema3fb|
ENSDARG00000061161|ENSDART00000086924|ube2j2|
ENSDARG00000061161|ENSDART00000137282|ube2j2|
ENSDARG00000061161|ENSDART00000113325|ube2j2|
ENSDARG00000053364|ENSDART00000151739|zgc:193504|
ENSDARG00000053364|ENSDART00000151608|zgc:193504|
ENSDARG00000053364|ENSDART00000075395|zgc:193504|
ENSDARG00000018130|ENSDART00000022135|rhot1a|
ENSDARG00000055708|ENSDART00000078114|timm8b|
ENSDARG00000062241|ENSDART00000089777|si:ch211-15p9.2|
ENSDARG00000054734|ENSDART00000132518|or116-1|
ENSDARG00000054734|ENSDART00000076985|or116-1|
ENSDARG00000002663|ENSDART00000014036|optn|
ENSDARG00000002663|ENSDART00000133616|optn|
ENSDARG00000002663|ENSDART00000113526|optn|
ENSDARG00000074745|ENSDART00000103004|CABZ01044297.1|
ENSDARG00000026787|ENSDART00000123522|aqp7|
ENSDARG00000026787|ENSDART00000032586|aqp7|
ENSDARG00000067859|ENSDART00000136590|scospondin|
ENSDARG00000067859|ENSDART00000097773|scospondin|
ENSDARG00000056400|ENSDART00000078889|helt|
ENSDARG00000062686|ENSDART00000147902|megf11|
ENSDARG00000062686|ENSDART00000090855|megf11|
ENSDARG00000061110|ENSDART00000086795|zbtb44|
ENSDARG00000092244|ENSDART00000141842|BX005085.5|
ENSDARG00000092244|ENSDART00000132197|BX005085.5|
ENSDARG00000092721|ENSDART00000135612|si:ch211-67f24.7|
ENSDARG00000062904|ENSDART00000091463|idua|
ENSDARG00000074983|ENSDART00000111896|zgc:172290|
ENSDARG00000056653|ENSDART00000138474|fhl|
ENSDARG00000056653|ENSDART00000134322|fhl|
ENSDARG00000056653|ENSDART00000079187|fhl|
ENSDARG00000092890|ENSDART00000147073|CELA1 (3 of 8)|
ENSDARG00000062650|ENSDART00000143972|rif1|
ENSDARG00000062650|ENSDART00000110992|rif1|
ENSDARG00000062650|ENSDART00000090816|rif1|
ENSDARG00000003382|ENSDART00000100924|cwc25|
ENSDARG00000011890|ENSDART00000105873|cry4|
ENSDARG00000011890|ENSDART00000126053|cry4|
ENSDARG00000011890|ENSDART00000121551|cry4|
ENSDARG00000011890|ENSDART00000082365|cry4|
ENSDARG00000052556|ENSDART00000074428|fgfrl1b|
ENSDARG00000006816|ENSDART00000006514|gtf2f2b|
ENSDARG00000044093|ENSDART00000064739|rpl13a|
ENSDARG00000044093|ENSDART00000145980|rpl13a|
ENSDARG00000044093|ENSDART00000134680|rpl13a|
ENSDARG00000044093|ENSDART00000132299|rpl13a|
ENSDARG00000044093|ENSDART00000141942|rpl13a|
ENSDARG00000044093|ENSDART00000134571|rpl13a|
ENSDARG00000044093|ENSDART00000128758|rpl13a|
ENSDARG00000095884|ENSDART00000149112|si:ch211-57m13.9|
ENSDARG00000039569|ENSDART00000057810|emx1|
ENSDARG00000053512|ENSDART00000075553|crybb2|
ENSDARG00000053512|ENSDART00000141568|crybb2|
ENSDARG00000053512|ENSDART00000135525|crybb2|
ENSDARG00000053512|ENSDART00000136781|crybb2|
ENSDARG00000091412|ENSDART00000123070|CU638714.2|
ENSDARG00000010085|ENSDART00000122352|p4ha2|
ENSDARG00000010085|ENSDART00000129566|p4ha2|
ENSDARG00000010085|ENSDART00000024137|p4ha2|
ENSDARG00000095347|ENSDART00000147001|si:dkeyp-72h1.1|
ENSDARG00000071719|ENSDART00000140578|si:dkey-20i20.2|
ENSDARG00000071719|ENSDART00000106221|si:dkey-20i20.2|
ENSDARG00000071719|ENSDART00000106220|si:dkey-20i20.2|
ENSDARG00000055983|ENSDART00000141838|v2rh12|
ENSDARG00000055983|ENSDART00000007035|v2rh12|
ENSDARG00000089994|ENSDART00000143423|or116-2|
ENSDARG00000089994|ENSDART00000076980|or116-2|
ENSDARG00000092060|ENSDART00000125638|tbx5b|
ENSDARG00000076182|ENSDART00000145674|stat1b|
ENSDARG00000076182|ENSDART00000141792|stat1b|
ENSDARG00000076182|ENSDART00000148337|stat1b|
ENSDARG00000076182|ENSDART00000145312|stat1b|
ENSDARG00000076182|ENSDART00000000280|stat1b|
ENSDARG00000076182|ENSDART00000059638|stat1b|
ENSDARG00000076182|ENSDART00000114822|stat1b|
ENSDARG00000003391|ENSDART00000145658|snx7|
ENSDARG00000003391|ENSDART00000132597|snx7|
ENSDARG00000003391|ENSDART00000123598|snx7|
ENSDARG00000003391|ENSDART00000045724|snx7|
ENSDARG00000087152|ENSDART00000130867|SOWAHD|
ENSDARG00000093159|ENSDART00000147855|si:dkeyp-106c3.3|
ENSDARG00000014113|ENSDART00000103519|wasla|
ENSDARG00000014113|ENSDART00000149456|wasla|
ENSDARG00000014113|ENSDART00000149849|wasla|
ENSDARG00000091108|ENSDART00000121953|CU638714.1|
ENSDARG00000017659|ENSDART00000004655|sps2|
ENSDARG00000038384|ENSDART00000056002|th2|
ENSDARG00000038384|ENSDART00000109299|th2|
ENSDARG00000055481|ENSDART00000136076|atf7b|
ENSDARG00000055481|ENSDART00000104042|atf7b|
ENSDARG00000055481|ENSDART00000077839|atf7b|
ENSDARG00000094073|ENSDART00000123031|CR381686.1|
ENSDARG00000037517|ENSDART00000132920|slc35c2|
ENSDARG00000037517|ENSDART00000109899|slc35c2|
ENSDARG00000037517|ENSDART00000140219|slc35c2|
ENSDARG00000037517|ENSDART00000137294|slc35c2|
ENSDARG00000037517|ENSDART00000054641|slc35c2|
ENSDARG00000037517|ENSDART00000102963|slc35c2|
ENSDARG00000018319|ENSDART00000013264|arglu1b|
ENSDARG00000016233|ENSDART00000019392|sdr16c5a|
ENSDARG00000036316|ENSDART00000146274|rpl39|
ENSDARG00000036316|ENSDART00000052761|rpl39|
ENSDARG00000036316|ENSDART00000146999|rpl39|
ENSDARG00000053241|ENSDART00000146602|sts|
ENSDARG00000053241|ENSDART00000148611|sts|
ENSDARG00000053241|ENSDART00000075252|sts|
ENSDARG00000022614|ENSDART00000044652|ddx43|
ENSDARG00000022614|ENSDART00000101479|ddx43|
ENSDARG00000094788|ENSDART00000142719|t2gtl4a|
ENSDARG00000094788|ENSDART00000139465|t2gtl4a|
ENSDARG00000056938|ENSDART00000079521|kera|
ENSDARG00000056938|ENSDART00000140190|kera|
ENSDARG00000090286|ENSDART00000113927|serpina1|
ENSDARG00000090286|ENSDART00000125398|serpina1|
ENSDARG00000087213|ENSDART00000130912|CABZ01053617.1|
ENSDARG00000036386|ENSDART00000052862|rbm4.1|
ENSDARG00000036386|ENSDART00000148054|rbm4.1|
ENSDARG00000045553|ENSDART00000066985|hsd17b2|
ENSDARG00000031757|ENSDART00000041054|tmc4|
ENSDARG00000056047|ENSDART00000078469|noxa1|
ENSDARG00000056047|ENSDART00000142604|noxa1|
ENSDARG00000056047|ENSDART00000137963|noxa1|
ENSDARG00000042221|ENSDART00000145433|mthfd1l|
ENSDARG00000042221|ENSDART00000147154|mthfd1l|
ENSDARG00000042221|ENSDART00000137628|mthfd1l|
ENSDARG00000042221|ENSDART00000138058|mthfd1l|
ENSDARG00000042221|ENSDART00000131994|mthfd1l|
ENSDARG00000042221|ENSDART00000061914|mthfd1l|
ENSDARG00000011801|ENSDART00000018570|wars2|
ENSDARG00000087465|ENSDART00000106573|BX005085.1|
ENSDARG00000045858|ENSDART00000067392|C4H12orf5 (2 of 2)|
ENSDARG00000039934|ENSDART00000128556|hlcs|
ENSDARG00000039934|ENSDART00000058411|hlcs|
ENSDARG00000077058|ENSDART00000140896|CELA1 (7 of 8)|
ENSDARG00000077058|ENSDART00000109995|CELA1 (7 of 8)|
ENSDARG00000061099|ENSDART00000127846|nfasca|
ENSDARG00000061099|ENSDART00000121874|nfasca|
ENSDARG00000061099|ENSDART00000112655|nfasca|
ENSDARG00000061099|ENSDART00000086720|nfasca|
ENSDARG00000022424|ENSDART00000038642|slc26a5|
ENSDARG00000039756|ENSDART00000135028|prop1|
ENSDARG00000039756|ENSDART00000058106|prop1|
ENSDARG00000055509|ENSDART00000062737|CU207259.1|
ENSDARG00000043898|ENSDART00000064463|fxc1|
ENSDARG00000058053|ENSDART00000144296|SERPING1|
ENSDARG00000058053|ENSDART00000133830|SERPING1|
ENSDARG00000058053|ENSDART00000080858|SERPING1|
ENSDARG00000023448|ENSDART00000032161|galnt14|
ENSDARG00000030020|ENSDART00000043960|agfg1a|
ENSDARG00000030020|ENSDART00000144944|agfg1a|
ENSDARG00000030020|ENSDART00000124780|agfg1a|
ENSDARG00000089177|ENSDART00000122892|CYP46A1 (4 of 5)|
ENSDARG00000062753|ENSDART00000143242|naif1|
ENSDARG00000062753|ENSDART00000091109|naif1|
ENSDARG00000059166|ENSDART00000121740|SLC22A13|
ENSDARG00000059166|ENSDART00000082201|SLC22A13|
ENSDARG00000044956|ENSDART00000066086|zgc:114123|
ENSDARG00000044956|ENSDART00000134938|zgc:114123|
ENSDARG00000079854|ENSDART00000074038|SCYL1 (2 of 2)|
ENSDARG00000042752|ENSDART00000137140|si:ch211-282j17.11|
ENSDARG00000042752|ENSDART00000136711|si:ch211-282j17.11|
ENSDARG00000042752|ENSDART00000064240|si:ch211-282j17.11|
ENSDARG00000096023|ENSDART00000115347|RHOT1 (1 of 3)|
ENSDARG00000016813|ENSDART00000145154|ccdc40|
ENSDARG00000016813|ENSDART00000140156|ccdc40|
ENSDARG00000016813|ENSDART00000002617|ccdc40|
ENSDARG00000004869|ENSDART00000142013|penka|
ENSDARG00000004869|ENSDART00000027102|penka|
ENSDARG00000070964|ENSDART00000104623|si:rp71-15k1.1|
ENSDARG00000070964|ENSDART00000151361|si:rp71-15k1.1|
ENSDARG00000070964|ENSDART00000151164|si:rp71-15k1.1|
ENSDARG00000013056|ENSDART00000008590|itpk1|
ENSDARG00000062634|ENSDART00000090757|kat2b|
ENSDARG00000030146|ENSDART00000041897|inppl1a|
ENSDARG00000041546|ENSDART00000060905|gypc|
ENSDARG00000092391|ENSDART00000142153|CU207259.2|
ENSDARG00000092391|ENSDART00000142309|CU207259.2|
ENSDARG00000055550|ENSDART00000077924|CABZ01041682.1|
ENSDARG00000060260|ENSDART00000084724|FDFT1|
ENSDARG00000060260|ENSDART00000133280|FDFT1|
ENSDARG00000091025|ENSDART00000130027|BX005085.4|
ENSDARG00000019686|ENSDART00000152015|FGL2 (2 of 2)|
ENSDARG00000019686|ENSDART00000067277|FGL2 (2 of 2)|
ENSDARG00000054199|ENSDART00000076350|mthfd2l|
ENSDARG00000054199|ENSDART00000146901|mthfd2l|
ENSDARG00000071060|ENSDART00000104831|naa10|
ENSDARG00000078244|ENSDART00000144485|si:ch211-197l9.2|
ENSDARG00000078244|ENSDART00000142953|si:ch211-197l9.2|
ENSDARG00000078244|ENSDART00000115417|si:ch211-197l9.2|
ENSDARG00000063311|ENSDART00000092402|soga3a|
ENSDARG00000087741|ENSDART00000145898|asb14|
ENSDARG00000087741|ENSDART00000143288|asb14|
ENSDARG00000087741|ENSDART00000127543|asb14|
ENSDARG00000069280|ENSDART00000100696|tsen15|
ENSDARG00000095315|ENSDART00000142311|wu:fb68b01|
ENSDARG00000024619|ENSDART00000131134|FOXO6 (1 of 2)|
ENSDARG00000027618|ENSDART00000133267|grip2b|
ENSDARG00000027618|ENSDART00000092447|grip2b|
ENSDARG00000024465|ENSDART00000028941|mrps18a|
ENSDARG00000024465|ENSDART00000150847|mrps18a|
ENSDARG00000062237|ENSDART00000089747|nfs1|
ENSDARG00000016649|ENSDART00000014871|AKR7A3|
ENSDARG00000028862|ENSDART00000041177|BX546446.1|
ENSDARG00000094951|ENSDART00000131330|BX072532.5|
ENSDARG00000094951|ENSDART00000142742|BX072532.5|
ENSDARG00000025846|ENSDART00000137070|fam102aa|
ENSDARG00000025846|ENSDART00000063959|fam102aa|
ENSDARG00000078519|ENSDART00000134055|si:ch73-256j6.5|
ENSDARG00000078519|ENSDART00000106173|si:ch73-256j6.5|
ENSDARG00000009930|ENSDART00000135475|cadm2a|
ENSDARG00000009930|ENSDART00000056369|cadm2a|
ENSDARG00000037363|ENSDART00000133050|st5|
ENSDARG00000037363|ENSDART00000143543|st5|
ENSDARG00000037363|ENSDART00000054368|st5|
ENSDARG00000037363|ENSDART00000113313|st5|
ENSDARG00000021112|ENSDART00000023803|c1d|
ENSDARG00000070726|ENSDART00000149833|cnga3a|
ENSDARG00000070726|ENSDART00000104124|cnga3a|
ENSDARG00000028982|ENSDART00000133905|pcca|
ENSDARG00000028982|ENSDART00000136786|pcca|
ENSDARG00000028982|ENSDART00000135252|pcca|
ENSDARG00000028982|ENSDART00000034097|pcca|
ENSDARG00000043907|ENSDART00000148831|FGF11 (2 of 2)|
ENSDARG00000043907|ENSDART00000064477|FGF11 (2 of 2)|
ENSDARG00000008439|ENSDART00000145747|atxn10|
ENSDARG00000008439|ENSDART00000066980|atxn10|
ENSDARG00000093992|ENSDART00000131877|si:ch211-279g13.1|
ENSDARG00000058543|ENSDART00000045126|lama5|
ENSDARG00000095549|ENSDART00000134171|si:dkeyp-106c3.2|
ENSDARG00000025320|ENSDART00000029343|COL21A1 (1 of 2)|
ENSDARG00000089111|ENSDART00000127927|BX927253.1|
ENSDARG00000060656|ENSDART00000085719|si:ch211-10a23.2|
ENSDARG00000096459|ENSDART00000151843|si:dkey-97l20.5|
ENSDARG00000094558|ENSDART00000150762|si:dkeyp-53e4.1|
ENSDARG00000094558|ENSDART00000137064|si:dkeyp-53e4.1|
ENSDARG00000088740|ENSDART00000125914|hmgcll1|
ENSDARG00000018840|ENSDART00000019450|trpc4apa|
ENSDARG00000018840|ENSDART00000128126|trpc4apa|
ENSDARG00000076958|ENSDART00000114998|zgc:172260|
ENSDARG00000069674|ENSDART00000101576|TMEM230 (1 of 2)|
ENSDARG00000010823|ENSDART00000016793|memo1|
ENSDARG00000010823|ENSDART00000141748|memo1|
ENSDARG00000012513|ENSDART00000020810|sdcbp2|
ENSDARG00000012513|ENSDART00000136496|sdcbp2|
ENSDARG00000079310|ENSDART00000020686|st3gal1l|
