tscriptid,ottdartid,ensdartid,comments
ZDB-TSCRIPT-091110-770,OTTDART00000022023,ENSDART00000147722.2,,
ZDB-TSCRIPT-131113-3205,OTTDART00000022035,ENSDART00000153706.3,,
ZDB-TSCRIPT-131113-9,OTTDART00000022036,ENSDART00000155444.3,,
ZDB-TSCRIPT-131113-1606,OTTDART00000022037,ENSDART00000155172.3,,
ZDB-TSCRIPT-131113-3206,OTTDART00000022038,ENSDART00000156821.3,,
ZDB-TSCRIPT-131113-10,OTTDART00000022039,ENSDART00000156518.3,,
ZDB-TSCRIPT-131113-1607,OTTDART00000022040,ENSDART00000154853.2,,
ZDB-TSCRIPT-090929-5479,OTTDART00000022053,ENSDART00000134148.2,,
ZDB-TSCRIPT-090929-5485,OTTDART00000022065,ENSDART00000145797.2,,
ZDB-TSCRIPT-090929-5490,OTTDART00000022070,ENSDART00000134048.2,,
ZDB-TSCRIPT-090929-5512,OTTDART00000022092,ENSDART00000131364.2,,
ZDB-TSCRIPT-090929-5548,OTTDART00000022129,ENSDART00000144693.2,,
ZDB-TSCRIPT-090929-5550,OTTDART00000022131,ENSDART00000140809.2,,
ZDB-TSCRIPT-090929-5561,OTTDART00000022143,ENSDART00000147304.3,,
ZDB-TSCRIPT-090929-5562,OTTDART00000022144,ENSDART00000145913.3,,
ZDB-TSCRIPT-090929-5563,OTTDART00000022145,ENSDART00000138618.2,,
ZDB-TSCRIPT-090929-5564,OTTDART00000022146,ENSDART00000137613.2,,
ZDB-TSCRIPT-090929-5584,OTTDART00000022177,ENSDART00000148340.3,,
ZDB-TSCRIPT-090929-5585,OTTDART00000022178,ENSDART00000143575.3,,
ZDB-TSCRIPT-090929-5586,OTTDART00000022179,ENSDART00000146507.2,,
ZDB-TSCRIPT-090929-5587,OTTDART00000022180,ENSDART00000142966.3,,
ZDB-TSCRIPT-090929-5588,OTTDART00000022181,ENSDART00000147585.2,,
ZDB-TSCRIPT-090929-5590,OTTDART00000022183,ENSDART00000143209.2,,
ZDB-TSCRIPT-090929-5591,OTTDART00000022184,ENSDART00000141923.2,,
ZDB-TSCRIPT-091110-1494,OTTDART00000022194,ENSDART00000138790.4,,
ZDB-TSCRIPT-091110-771,OTTDART00000022201,ENSDART00000131757.2,,
ZDB-TSCRIPT-090929-5631,OTTDART00000022239,ENSDART00000143405.3,,
ZDB-TSCRIPT-090929-5638,OTTDART00000022246,ENSDART00000135961.2,,
ZDB-TSCRIPT-090929-5639,OTTDART00000022247,ENSDART00000137247.2,,
ZDB-TSCRIPT-090929-5657,OTTDART00000022289,ENSDART00000133945.2,,
ZDB-TSCRIPT-090929-5685,OTTDART00000022328,ENSDART00000146968.2,,
ZDB-TSCRIPT-090929-5700,OTTDART00000022345,ENSDART00000139585.2,,
ZDB-TSCRIPT-090929-5725,OTTDART00000022370,ENSDART00000141668.2,,
ZDB-TSCRIPT-090929-5729,OTTDART00000022374,ENSDART00000141440.2,,
ZDB-TSCRIPT-090929-5731,OTTDART00000022376,ENSDART00000140676.2,,
ZDB-TSCRIPT-090929-5732,OTTDART00000022377,ENSDART00000144932.3,,
ZDB-TSCRIPT-090929-5747,OTTDART00000022394,ENSDART00000138998.2,,
ZDB-TSCRIPT-090929-5753,OTTDART00000022400,ENSDART00000146731.3,,
ZDB-TSCRIPT-090929-5782,OTTDART00000022436,ENSDART00000141195.2,,
ZDB-TSCRIPT-090929-5820,OTTDART00000022474,ENSDART00000134667.2,,
ZDB-TSCRIPT-090929-5821,OTTDART00000022475,ENSDART00000145772.4,,
ZDB-TSCRIPT-090929-5822,OTTDART00000022476,ENSDART00000140700.2,,
ZDB-TSCRIPT-090929-5823,OTTDART00000022477,ENSDART00000153698.2,,
ZDB-TSCRIPT-090929-5824,OTTDART00000022478,,pimr58 like,
ZDB-TSCRIPT-090929-5825,OTTDART00000022479,,pimr58 like,
ZDB-TSCRIPT-090929-5828,OTTDART00000022482,,pimr58 like,
ZDB-TSCRIPT-090929-5829,OTTDART00000022483,,pimr58 like,
ZDB-TSCRIPT-090929-5832,OTTDART00000022487,ENSDART00000147630.3,,
ZDB-TSCRIPT-090929-5833,OTTDART00000022488,ENSDART00000138811.2,,
ZDB-TSCRIPT-090929-5836,OTTDART00000022491,,pimr58 like,
ZDB-TSCRIPT-090929-5837,OTTDART00000022492,,pimr58 like,
ZDB-TSCRIPT-090929-5847,OTTDART00000022503,ENSDART00000097583.5,,
ZDB-TSCRIPT-090929-5848,OTTDART00000022504,ENSDART00000035235.8,,
ZDB-TSCRIPT-090929-5850,OTTDART00000022507,ENSDART00000138393.2,,
ZDB-TSCRIPT-090929-5854,OTTDART00000022511,ENSDART00000134487.2,,
ZDB-TSCRIPT-090929-5861,OTTDART00000022520,ENSDART00000134317.2,,
ZDB-TSCRIPT-090929-5862,OTTDART00000022522,ENSDART00000144213.3,,
ZDB-TSCRIPT-090929-5863,OTTDART00000022523,ENSDART00000142850.2,,
ZDB-TSCRIPT-090929-5864,OTTDART00000022524,ENSDART00000147012.2,,
ZDB-TSCRIPT-090929-5865,OTTDART00000022525,ENSDART00000143654.3,,
ZDB-TSCRIPT-090929-5866,OTTDART00000022526,ENSDART00000136601.3,,
ZDB-TSCRIPT-090929-5867,OTTDART00000022527,ENSDART00000148085.2,,
ZDB-TSCRIPT-090929-5889,OTTDART00000022560,ENSDART00000145624.2,,
ZDB-TSCRIPT-090929-5890,OTTDART00000022561,ENSDART00000132410.2,,
ZDB-TSCRIPT-090929-5896,OTTDART00000022571,ENSDART00000130579.3,,
ZDB-TSCRIPT-090929-5897,OTTDART00000022572,ENSDART00000134891.3,,
ZDB-TSCRIPT-090929-5898,OTTDART00000022573,ENSDART00000136451.2,,
ZDB-TSCRIPT-090929-5900,OTTDART00000022577,ENSDART00000133613.2,,
ZDB-TSCRIPT-090929-5912,OTTDART00000022590,ENSDART00000138200.3,,
ZDB-TSCRIPT-090929-5913,OTTDART00000022591,ENSDART00000142782.2,,
ZDB-TSCRIPT-090929-5917,OTTDART00000022595,ENSDART00000164669.2,,
ZDB-TSCRIPT-090929-5920,OTTDART00000022603,ENSDART00000163313.2,,
ZDB-TSCRIPT-090929-5921,OTTDART00000022604,ENSDART00000165127.2,,
ZDB-TSCRIPT-090929-5930,OTTDART00000022614,ENSDART00000138702.2,,
ZDB-TSCRIPT-090929-5935,OTTDART00000022620,ENSDART00000140464.4,,
ZDB-TSCRIPT-090929-5938,OTTDART00000022623,ENSDART00000140591.3,,
ZDB-TSCRIPT-090929-5939,OTTDART00000022624,ENSDART00000134886.2,,
ZDB-TSCRIPT-090929-5940,OTTDART00000022625,ENSDART00000144738.2,,
ZDB-TSCRIPT-090929-5945,OTTDART00000022631,ENSDART00000159819.2,,
ZDB-TSCRIPT-090929-5946,OTTDART00000022634,ENSDART00000172587.2,,
ZDB-TSCRIPT-090929-5947,OTTDART00000022636,ENSDART00000167296.2,,
ZDB-TSCRIPT-090929-5948,OTTDART00000022637,ENSDART00000167327.2,,
ZDB-TSCRIPT-090929-5949,OTTDART00000022638,ENSDART00000159102.2,,
ZDB-TSCRIPT-090929-5950,OTTDART00000022639,ENSDART00000169102.2,,
ZDB-TSCRIPT-090929-5951,OTTDART00000022640,ENSDART00000167942.2,,
ZDB-TSCRIPT-090929-5956,OTTDART00000022647,ENSDART00000161692.2,,
ZDB-TSCRIPT-090929-5957,OTTDART00000022648,ENSDART00000160965.2,,
ZDB-TSCRIPT-090929-5962,OTTDART00000022653,ENSDART00000159698.2,,
ZDB-TSCRIPT-090929-5963,OTTDART00000022654,ENSDART00000158301.2,,
ZDB-TSCRIPT-090929-5964,OTTDART00000022656,ENSDART00000161357.2,,
ZDB-TSCRIPT-090929-5965,OTTDART00000022657,ENSDART00000171757.2,,
ZDB-TSCRIPT-090929-5969,OTTDART00000022662,ENSDART00000158310.2,,
ZDB-TSCRIPT-090929-5970,OTTDART00000022663,ENSDART00000166111.2,,
ZDB-TSCRIPT-090929-5971,OTTDART00000022664,ENSDART00000166694.2,,
ZDB-TSCRIPT-090929-5972,OTTDART00000022666,ENSDART00000167617.2,,
ZDB-TSCRIPT-090929-5974,OTTDART00000022668,ENSDART00000164595.2,,
ZDB-TSCRIPT-090929-5975,OTTDART00000022669,ENSDART00000163947.2,,
ZDB-TSCRIPT-141209-1305,OTTDART00000022711,ENSDART00000164813.2,,
ZDB-TSCRIPT-090929-6018,OTTDART00000022731,ENSDART00000141630.3,,
ZDB-TSCRIPT-090929-6045,OTTDART00000022784,ENSDART00000127521.3,,
ZDB-TSCRIPT-090929-6053,OTTDART00000022794,ENSDART00000135817.2,,
ZDB-TSCRIPT-090929-6057,OTTDART00000022812,ENSDART00000140395.4,,
ZDB-TSCRIPT-090929-6058,OTTDART00000022813,ENSDART00000144252.4,,
ZDB-TSCRIPT-141209-1309,OTTDART00000022828,ENSDART00000164811,,
ZDB-TSCRIPT-090929-6066,OTTDART00000022830,ENSDART00000133655.2,,
ZDB-TSCRIPT-141209-2527,OTTDART00000022833,ENSDART00000162718.2,,
ZDB-TSCRIPT-090929-6069,OTTDART00000022834,ENSDART00000147300.2,,
ZDB-TSCRIPT-090929-6071,OTTDART00000022836,ENSDART00000139797.2,,
ZDB-TSCRIPT-090929-6072,OTTDART00000022838,ENSDART00000132159.2,,
ZDB-TSCRIPT-090929-6078,OTTDART00000022844,ENSDART00000137321.2,,
ZDB-TSCRIPT-090929-6081,OTTDART00000022847,ENSDART00000142896.2,,
ZDB-TSCRIPT-090929-6082,OTTDART00000022848,ENSDART00000136163.2,,
ZDB-TSCRIPT-090929-6083,OTTDART00000022849,ENSDART00000148087.2,,
ZDB-TSCRIPT-090929-6092,OTTDART00000022858,ENSDART00000168196.2,,
ZDB-TSCRIPT-090929-6095,OTTDART00000022861,ENSDART00000135317.2,,
ZDB-TSCRIPT-090929-6096,OTTDART00000022862,ENSDART00000133307.3,,
ZDB-TSCRIPT-090929-6097,OTTDART00000022863,ENSDART00000137894.2,,
ZDB-TSCRIPT-090929-6098,OTTDART00000022864,ENSDART00000148048.2,,
ZDB-TSCRIPT-090929-6099,OTTDART00000022865,ENSDART00000136632,,
ZDB-TSCRIPT-090929-6100,OTTDART00000022866,ENSDART00000138044.2,,
ZDB-TSCRIPT-090929-6106,OTTDART00000022872,ENSDART00000136854.2,,
ZDB-TSCRIPT-090929-6107,OTTDART00000022873,ENSDART00000143418.2,,
ZDB-TSCRIPT-090929-6108,OTTDART00000022874,ENSDART00000143019.2,,
ZDB-TSCRIPT-090929-6110,OTTDART00000022876,ENSDART00000147534.2,,
ZDB-TSCRIPT-090929-6112,OTTDART00000022878,ENSDART00000138209.2,,
ZDB-TSCRIPT-090929-6115,OTTDART00000022881,ENSDART00000139480.2,,
ZDB-TSCRIPT-090929-6116,OTTDART00000022882,ENSDART00000135083.2,,
ZDB-TSCRIPT-090929-6117,OTTDART00000022883,ENSDART00000139520.3,,
ZDB-TSCRIPT-090929-6118,OTTDART00000022884,ENSDART00000137298.3,,
ZDB-TSCRIPT-090929-6119,OTTDART00000022885,ENSDART00000142798.2,,
ZDB-TSCRIPT-090929-6120,OTTDART00000022886,ENSDART00000140602.2,,
ZDB-TSCRIPT-090929-6121,OTTDART00000022887,ENSDART00000134623.2,,
ZDB-TSCRIPT-090929-6127,OTTDART00000022893,ENSDART00000147887.3,,
ZDB-TSCRIPT-090929-6128,OTTDART00000022894,ENSDART00000143024.2,,
ZDB-TSCRIPT-090929-6134,OTTDART00000022900,ENSDART00000133745.2,,
ZDB-TSCRIPT-090929-6136,OTTDART00000022903,ENSDART00000137914.2,,
ZDB-TSCRIPT-090929-6144,OTTDART00000022919,ENSDART00000142413.2,,
ZDB-TSCRIPT-090929-6148,OTTDART00000022923,ENSDART00000142210.2,,
ZDB-TSCRIPT-090929-6174,OTTDART00000022950,ENSDART00000145819.2,,
ZDB-TSCRIPT-090929-6175,OTTDART00000022951,ENSDART00000144243.2,,
ZDB-TSCRIPT-090929-6176,OTTDART00000022952,ENSDART00000139065.2,,
ZDB-TSCRIPT-090929-6231,OTTDART00000023009,ENSDART00000136028.2,,
ZDB-TSCRIPT-090929-6232,OTTDART00000023010,ENSDART00000140629.3,,
ZDB-TSCRIPT-090929-6250,OTTDART00000023028,ENSDART00000133231.2,,
ZDB-TSCRIPT-090929-6253,OTTDART00000023032,ENSDART00000140992.3,,
ZDB-TSCRIPT-090929-6257,OTTDART00000023037,ENSDART00000143893.2,,
ZDB-TSCRIPT-090929-6258,OTTDART00000023038,ENSDART00000145143.3,,
ZDB-TSCRIPT-090929-6259,OTTDART00000023039,ENSDART00000138195.2,,
ZDB-TSCRIPT-090929-6260,OTTDART00000023040,ENSDART00000132655.3,,
ZDB-TSCRIPT-090929-6263,OTTDART00000023043,ENSDART00000138477.2,,
ZDB-TSCRIPT-090929-6287,OTTDART00000023076,ENSDART00000170599.2,,
ZDB-TSCRIPT-090929-6288,OTTDART00000023077,ENSDART00000140899.3,,
ZDB-TSCRIPT-090929-6304,OTTDART00000023094,ENSDART00000146970.2,,
ZDB-TSCRIPT-090929-6312,OTTDART00000023102,ENSDART00000146920.3,,
ZDB-TSCRIPT-090929-6313,OTTDART00000023103,ENSDART00000132738.3,,
ZDB-TSCRIPT-090929-6314,OTTDART00000023105,ENSDART00000137824.2,,
ZDB-TSCRIPT-090929-6328,OTTDART00000023120,ENSDART00000168984.2,,
ZDB-TSCRIPT-141209-87,OTTDART00000023127,ENSDART00000164698.2,,
ZDB-TSCRIPT-090929-6340,OTTDART00000023148,ENSDART00000139836.2,,
ZDB-TSCRIPT-090929-6346,OTTDART00000023154,ENSDART00000141802.3,,
ZDB-TSCRIPT-090929-6347,OTTDART00000023155,ENSDART00000134352.3,,
ZDB-TSCRIPT-110325-23,OTTDART00000023174,ENSDART00000149569.3,,
ZDB-TSCRIPT-090929-6353,OTTDART00000023179,ENSDART00000061149.4,,
ZDB-TSCRIPT-090929-6360,OTTDART00000023186,ENSDART00000142875.2,,
ZDB-TSCRIPT-090929-6361,OTTDART00000023187,ENSDART00000145020.2,,
ZDB-TSCRIPT-090929-6365,OTTDART00000023191,ENSDART00000058470.6,,
ZDB-TSCRIPT-090929-6368,OTTDART00000023194,ENSDART00000164507.2,,
ZDB-TSCRIPT-090929-6392,OTTDART00000023240,ENSDART00000136725.3,,
ZDB-TSCRIPT-090929-6393,OTTDART00000023241,ENSDART00000132849.2,,
ZDB-TSCRIPT-090929-6395,OTTDART00000023243,ENSDART00000136095.3,,
ZDB-TSCRIPT-090929-6396,OTTDART00000023244,ENSDART00000131687.2,,
ZDB-TSCRIPT-090929-6401,OTTDART00000023254,ENSDART00000139724.2,,
ZDB-TSCRIPT-090929-6407,OTTDART00000023262,ENSDART00000139427.2,,
ZDB-TSCRIPT-090929-6410,OTTDART00000023265,ENSDART00000134804.2,,
ZDB-TSCRIPT-090929-6412,OTTDART00000023267,ENSDART00000134412.2,,
ZDB-TSCRIPT-090929-6415,OTTDART00000023270,ENSDART00000144470.2,,
ZDB-TSCRIPT-090929-6425,OTTDART00000023280,ENSDART00000158744.2,,
ZDB-TSCRIPT-090929-6429,OTTDART00000023286,ENSDART00000162902.2,,
ZDB-TSCRIPT-090929-6433,OTTDART00000023290,ENSDART00000162207.2,,
ZDB-TSCRIPT-090929-6436,OTTDART00000023293,ENSDART00000144706.2,,
ZDB-TSCRIPT-090929-6438,OTTDART00000023295,ENSDART00000135087.3,,
ZDB-TSCRIPT-141209-2529,OTTDART00000023303,ENSDART00000163089.2,,
ZDB-TSCRIPT-141209-89,OTTDART00000023320,ENSDART00000157751.2,,
ZDB-TSCRIPT-110912-1,OTTDART00000023332,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-6471,OTTDART00000023372,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-6474,OTTDART00000023375,ENSDART00000170746.2,,
ZDB-TSCRIPT-090929-6475,OTTDART00000023376,ENSDART00000160872.2,,
ZDB-TSCRIPT-090929-6476,OTTDART00000023377,ENSDART00000169879.2,,
ZDB-TSCRIPT-090929-6477,OTTDART00000023378,ENSDART00000166460.2,,
ZDB-TSCRIPT-090929-6478,OTTDART00000023379,ENSDART00000160949.2,,
ZDB-TSCRIPT-090929-6488,OTTDART00000023390,ENSDART00000172524.2,,
ZDB-TSCRIPT-090929-6496,OTTDART00000023408,ENSDART00000146390.2,,
ZDB-TSCRIPT-090929-6519,OTTDART00000023438,ENSDART00000142490.3,,
ZDB-TSCRIPT-090929-6520,OTTDART00000023439,ENSDART00000148036.2,,
ZDB-TSCRIPT-090929-6521,OTTDART00000023440,ENSDART00000132783.3,,
ZDB-TSCRIPT-090929-6522,OTTDART00000023441,ENSDART00000133639.2,,
ZDB-TSCRIPT-090929-6575,OTTDART00000023504,ENSDART00000172715.2,,
ZDB-TSCRIPT-090929-6578,OTTDART00000023507,ENSDART00000134063.4,,
ZDB-TSCRIPT-090929-6592,OTTDART00000023535,ENSDART00000147266.2,,
ZDB-TSCRIPT-090929-6593,OTTDART00000023536,ENSDART00000138138.2,,
ZDB-TSCRIPT-090929-6596,OTTDART00000023539,,transcript not in Ensembl. Withdrawn  could be epb41aƒ needs more analysis,
ZDB-TSCRIPT-090929-6615,OTTDART00000023571,ENSDART00000146791.2,,
ZDB-TSCRIPT-090929-6617,OTTDART00000023573,ENSDART00000123066.3,,
ZDB-TSCRIPT-090929-6626,OTTDART00000023604,ENSDART00000147398.2,,
ZDB-TSCRIPT-091110-772,OTTDART00000023609,ENSDART00000142266.2,,
ZDB-TSCRIPT-091110-1497,OTTDART00000023611,ENSDART00000144011.2,,
ZDB-TSCRIPT-091110-1498,OTTDART00000023615,ENSDART00000147457.3,,
ZDB-TSCRIPT-091110-41,OTTDART00000023616,ENSDART00000147840.2,,
ZDB-TSCRIPT-091110-774,OTTDART00000023617,ENSDART00000140000.2,,
ZDB-TSCRIPT-090929-6646,OTTDART00000023638,ENSDART00000135746.2,,
ZDB-TSCRIPT-090929-6648,OTTDART00000023640,ENSDART00000135669.2,,
ZDB-TSCRIPT-090929-6654,OTTDART00000023648,ENSDART00000133934.2,,
ZDB-TSCRIPT-090929-6657,OTTDART00000023651,ENSDART00000127151.3,,
ZDB-TSCRIPT-090929-6659,OTTDART00000023655,ENSDART00000138635.2,,
ZDB-TSCRIPT-090929-6663,OTTDART00000023659,ENSDART00000148072.3,,
ZDB-TSCRIPT-090929-6664,OTTDART00000023660,ENSDART00000137329.2,,
ZDB-TSCRIPT-090929-6665,OTTDART00000023661,ENSDART00000141651.2,,
ZDB-TSCRIPT-090929-6689,OTTDART00000023687,ENSDART00000145206.2,,
ZDB-TSCRIPT-090929-6690,OTTDART00000023688,ENSDART00000132883.3,,
ZDB-TSCRIPT-090929-6691,OTTDART00000023689,ENSDART00000147027.2,,
ZDB-TSCRIPT-090929-6702,OTTDART00000023728,ENSDART00000150090.2,,
ZDB-TSCRIPT-090929-6705,OTTDART00000023731,ENSDART00000148624.2,,
ZDB-TSCRIPT-090929-6709,OTTDART00000023735,ENSDART00000145650.2,,
ZDB-TSCRIPT-090929-6711,OTTDART00000023739,ENSDART00000142190.2,,
ZDB-TSCRIPT-090929-6718,OTTDART00000023748,ENSDART00000141200.2,,
ZDB-TSCRIPT-090929-6724,OTTDART00000023754,ENSDART00000138649.2,,
ZDB-TSCRIPT-090929-6732,OTTDART00000023764,ENSDART00000147509.2,,
ZDB-TSCRIPT-090929-6733,OTTDART00000023765,ENSDART00000144959.3,,
ZDB-TSCRIPT-090929-6764,OTTDART00000023802,ENSDART00000140716.4,,
ZDB-TSCRIPT-090929-6765,OTTDART00000023803,ENSDART00000137100.2,,
ZDB-TSCRIPT-141209-2533,OTTDART00000023809,ENSDART00000159539.2,,
ZDB-TSCRIPT-141209-94,OTTDART00000023810,ENSDART00000160642.2,,
ZDB-TSCRIPT-141209-1315,OTTDART00000023811,ENSDART00000167170.2,,
ZDB-TSCRIPT-090929-6772,OTTDART00000023816,ENSDART00000139550.2,,
ZDB-TSCRIPT-090929-6781,OTTDART00000023830,ENSDART00000141092.3,,
ZDB-TSCRIPT-090929-6783,OTTDART00000023832,ENSDART00000132717.2,,
ZDB-TSCRIPT-090929-6800,OTTDART00000023849,ENSDART00000144863.2,,
ZDB-TSCRIPT-090929-6816,OTTDART00000023868,ENSDART00000132970.2,,
ZDB-TSCRIPT-090929-6817,OTTDART00000023869,ENSDART00000144455.2,,
ZDB-TSCRIPT-090929-6818,OTTDART00000023870,ENSDART00000138659.2,,
ZDB-TSCRIPT-090929-6823,OTTDART00000023877,ENSDART00000146033.2,,
ZDB-TSCRIPT-090929-6825,OTTDART00000023879,ENSDART00000131293.2,,
ZDB-TSCRIPT-090929-6828,OTTDART00000023882,ENSDART00000131333.2,,
ZDB-TSCRIPT-090929-6836,OTTDART00000023893,ENSDART00000134739.2,,
ZDB-TSCRIPT-090929-6837,OTTDART00000023894,ENSDART00000144424.2,,
ZDB-TSCRIPT-090929-6856,OTTDART00000023913,ENSDART00000125237.3,,
ZDB-TSCRIPT-090929-6887,OTTDART00000023952,ENSDART00000171752.2,,
ZDB-TSCRIPT-090929-6905,OTTDART00000023971,ENSDART00000137670.3,,
ZDB-TSCRIPT-090929-6906,OTTDART00000023972,ENSDART00000139261.3,,
ZDB-TSCRIPT-090929-6907,OTTDART00000023973,ENSDART00000141973.2,,
ZDB-TSCRIPT-090929-6926,OTTDART00000023996,ENSDART00000134861.2,,
ZDB-TSCRIPT-090929-6942,OTTDART00000024013,ENSDART00000144860.2,,
ZDB-TSCRIPT-090929-6970,OTTDART00000024080,ENSDART00000135676.2,,
ZDB-TSCRIPT-090929-6971,OTTDART00000024081,ENSDART00000134913.2,,
ZDB-TSCRIPT-090929-6972,OTTDART00000024082,ENSDART00000148074.2,,
ZDB-TSCRIPT-090929-6976,OTTDART00000024088,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-6991,OTTDART00000024104,ENSDART00000142973.2,,
ZDB-TSCRIPT-090929-7004,OTTDART00000024119,ENSDART00000122961.3,,
ZDB-TSCRIPT-090929-7022,OTTDART00000024138,ENSDART00000131835.2,,
ZDB-TSCRIPT-090929-7035,OTTDART00000024151,ENSDART00000169000.2,,
ZDB-TSCRIPT-090929-7049,OTTDART00000024166,ENSDART00000137180.2,,
ZDB-TSCRIPT-090929-7050,OTTDART00000024167,ENSDART00000135708.2,,
ZDB-TSCRIPT-090929-7055,OTTDART00000024172,ENSDART00000146539.2,,
ZDB-TSCRIPT-090929-7056,OTTDART00000024173,ENSDART00000132284.3,,
ZDB-TSCRIPT-090929-7067,OTTDART00000024184,ENSDART00000138761.2,,
ZDB-TSCRIPT-090929-7068,OTTDART00000024185,ENSDART00000147877.2,,
ZDB-TSCRIPT-090929-7072,OTTDART00000024189,ENSDART00000139259.2,,
ZDB-TSCRIPT-090929-7078,OTTDART00000024195,ENSDART00000132918.2,,
ZDB-TSCRIPT-090929-7096,OTTDART00000024213,ENSDART00000141243.2,,
ZDB-TSCRIPT-090929-7104,OTTDART00000024221,ENSDART00000138559.3,,
ZDB-TSCRIPT-090929-7105,OTTDART00000024222,ENSDART00000132033.2,,
ZDB-TSCRIPT-090929-7107,OTTDART00000024224,ENSDART00000137322.2,,
ZDB-TSCRIPT-090929-7120,OTTDART00000024242,ENSDART00000146857.2,,
ZDB-TSCRIPT-090929-7121,OTTDART00000024243,ENSDART00000142447.2,,
ZDB-TSCRIPT-090929-7122,OTTDART00000024244,ENSDART00000147181.3,,
ZDB-TSCRIPT-090929-7123,OTTDART00000024245,ENSDART00000135577.2,,
ZDB-TSCRIPT-090929-7129,OTTDART00000024251,ENSDART00000135786.2,,
ZDB-TSCRIPT-090929-7135,OTTDART00000024257,ENSDART00000138516.2,,
ZDB-TSCRIPT-090929-7155,OTTDART00000024287,ENSDART00000132398.2,,
ZDB-TSCRIPT-090929-7157,OTTDART00000024289,ENSDART00000124060.3,,
ZDB-TSCRIPT-090929-7159,OTTDART00000024291,ENSDART00000145238.3,,
ZDB-TSCRIPT-090929-7160,OTTDART00000024292,ENSDART00000147865.2,,
ZDB-TSCRIPT-090929-7164,OTTDART00000024296,ENSDART00000162613.2,,
ZDB-TSCRIPT-090929-7178,OTTDART00000024310,ENSDART00000161714.2,,
ZDB-TSCRIPT-090929-7185,OTTDART00000024317,ENSDART00000140419.2,,
ZDB-TSCRIPT-090929-7186,OTTDART00000024318,ENSDART00000138185.2,,
ZDB-TSCRIPT-090929-7200,OTTDART00000024332,ENSDART00000135401.2,,
ZDB-TSCRIPT-090929-7201,OTTDART00000024333,ENSDART00000132350.2,,
ZDB-TSCRIPT-090929-7204,OTTDART00000024336,ENSDART00000133096.2,,
ZDB-TSCRIPT-090929-7216,OTTDART00000024348,ENSDART00000137891.3,,
ZDB-TSCRIPT-090929-7230,OTTDART00000024362,ENSDART00000139161.3,,
ZDB-TSCRIPT-090929-7231,OTTDART00000024363,ENSDART00000140021.3,,
ZDB-TSCRIPT-090929-7233,OTTDART00000024365,ENSDART00000132412.2,,
ZDB-TSCRIPT-090929-7268,OTTDART00000024400,ENSDART00000140586.2,,
ZDB-TSCRIPT-090929-7271,OTTDART00000024403,ENSDART00000134245.2,,
ZDB-TSCRIPT-090929-7284,OTTDART00000024416,ENSDART00000146577.2,,
ZDB-TSCRIPT-090929-7285,OTTDART00000024417,ENSDART00000144524.3,,
ZDB-TSCRIPT-090929-7286,OTTDART00000024418,ENSDART00000142530.2,,
ZDB-TSCRIPT-090929-7287,OTTDART00000024419,ENSDART00000143730.3,,
ZDB-TSCRIPT-090929-7288,OTTDART00000024420,ENSDART00000141017.3,,
ZDB-TSCRIPT-090929-7292,OTTDART00000024424,ENSDART00000147851.2,,
ZDB-TSCRIPT-090929-7293,OTTDART00000024425,ENSDART00000142692.2,,
ZDB-TSCRIPT-090929-7294,OTTDART00000024426,ENSDART00000136149.2,,
ZDB-TSCRIPT-090929-7295,OTTDART00000024427,ENSDART00000134583.3,,
ZDB-TSCRIPT-090929-7296,OTTDART00000024428,ENSDART00000138094.3,,
ZDB-TSCRIPT-090929-7300,OTTDART00000024433,ENSDART00000140921.2,,
ZDB-TSCRIPT-090929-7301,OTTDART00000024434,ENSDART00000144391.2,,
ZDB-TSCRIPT-090929-7309,OTTDART00000024443,ENSDART00000142722.2,,
ZDB-TSCRIPT-090929-7315,OTTDART00000024449,ENSDART00000132114.2,,
ZDB-TSCRIPT-090929-7330,OTTDART00000024464,ENSDART00000135347.2,,
ZDB-TSCRIPT-090929-7332,OTTDART00000024466,ENSDART00000130932.3,,
ZDB-TSCRIPT-090929-7334,OTTDART00000024468,ENSDART00000148159.2,,
ZDB-TSCRIPT-090929-7339,OTTDART00000024473,ENSDART00000144946.2,,
ZDB-TSCRIPT-090929-7342,OTTDART00000024476,ENSDART00000129349.3,,
ZDB-TSCRIPT-090929-7351,OTTDART00000024485,ENSDART00000141064.2,,
ZDB-TSCRIPT-090929-7354,OTTDART00000024489,ENSDART00000139368.2,,
ZDB-TSCRIPT-090929-7369,OTTDART00000024518,ENSDART00000139334.2,,
ZDB-TSCRIPT-090929-7370,OTTDART00000024519,ENSDART00000147022.2,,
ZDB-TSCRIPT-090929-7381,OTTDART00000024536,ENSDART00000139181.2,,
ZDB-TSCRIPT-090929-7401,OTTDART00000024577,ENSDART00000144495.2,,
ZDB-TSCRIPT-090929-7436,OTTDART00000024613,ENSDART00000142119.2,,
ZDB-TSCRIPT-090929-7458,OTTDART00000024637,ENSDART00000143889.2,,
ZDB-TSCRIPT-090929-7463,OTTDART00000024644,ENSDART00000132172.2,,
ZDB-TSCRIPT-090929-7471,OTTDART00000024652,ENSDART00000143439.2,,
ZDB-TSCRIPT-090929-7473,OTTDART00000024654,ENSDART00000132936.2,,
