Box1,Box2,cDNA Name,Gene symbol,Biblio data,comments,Complexes,ENSDARG,Epigenetic,Function,Gene Name,GO component,GO function,GO process,Modification,NR-NS,Original Name,ovaries,pattern,PMID,polymerase,primers,Sequence,size,star,submission ZFIN,target entity,Target moleculres,Vector,ZDB_gene,ZFIN probe ID
V212,,FR_4568,nrf1,,,,ENSDARG00000000018,,,nuclear respiratory factor 1,nucleus,core promoter sequence-specific DNA binding ; protein homodimerization activity ; DNA binding,"cellular response to cold ; photoreceptor cell maintenance ; response to activity ; retina homeostasis ; neural retina development ; transcription, DNA-templated ; retina development in camera-type eye ; multicellular organism development ; regulation of transcription, DNA-templated",,,N1353 N,,NR,,T3,ACY9-ACY10,BC044537,3,,6 th sending,,,pME18S-FL3,ZDB-GENE-001221-1, ZDB-CDNA-040425-591
V213,,FR_4614,ciao1,,,,ENSDARG00000059212,,,cytosolic iron-sulfur assembly component 1,CIA complex,molecular_function,iron-sulfur cluster assembly,,,N1381 ,,"Nr more in ventral hematopoietic mesoderm at MS, ICM at 24 h",,T3,ACY9-ACY10,BC044534,1676,0,6 th sending,,,pME18S-FL3,ZDB-GENE-040426-839, ZDB-CDNA-040425-1767
V214,,FR_4633,kpna7,,,,ENSDARG00000027169,,,karyopherin alpha 7 (importin alpha 8),nucleoplasm ; nuclear pore ; cytosol ; cytoplasm ; nucleus,nuclear localization sequence binding ; protein transporter activity,protein transport ; protein import into nucleus ; transport ; NLS-bearing protein import into nucleus,,NS,N1412 ,,no staining,,T3,ACY9-ACY10,BC044523,1777,,6 th sending,,,pME18S-FL3,ZDB-GENE-040426-2023, ZDB-CDNA-040425-2970
V215,,FR_4661,g3bp1,,,,ENSDARG00000017741,,,GTPase activating protein (SH3 domain) binding protein 1,intracellular,nucleotide binding ; nucleic acid binding,transport,,NR,N1442 ,,NR,,T3,ACY9-ACY10,BC045874,2064,,6 th sending,,,pME18S-FL3,ZDB-GENE-030131-7452, ZDB-CDNA-040425-1493
V216,,FR_4689,actb1,,,,ENSDARG00000037746,,,"actin, alpha 1a, skeletal muscle",cell body ; filopodium ; lamellipodium ; cytoplasm,nucleotide binding ; ATP binding,mesenchyme migration ; positive regulation of gene expression,,NR,N1471 ,,NR,,T3,ACY9-ACY10,BC045846,1726,,6 th sending,,,pME18S-FL3,ZDB-GENE-050417-267, ZDB-CDNA-040425-83
V217,,FR_4713,itih2,,,,ENSDARG00000045516,,,inter-alpha-trypsin inhibitor heavy chain 2,NA,serine-type endopeptidase inhibitor activity,hyaluronan metabolic process,,,N1501,,"G - 36 h : YSL
48 h - 5d : YSL, liver

",,T3,ACY9-ACY10,BC045924,2701,1,6 th sending,,,pME18S-FL3,ZDB-GENE-040426-1942, ZDB-CDNA-040425-2889
V218,,FR_4749,adrm1,,,,ENSDARG00000058560,,,adhesion regulating molecule 1,proteasome complex ; cytoplasm ; nucleus,endopeptidase activator activity,proteasome assembly,,NR,N1531 ,,NR,,T3,ACY9-ACY10,BC045915,1345,,6 th sending,,,pME18S-FL3,ZDB-GENE-040426-905, ZDB-CDNA-040425-1833
V219,,FR_4775,chaf1b,"p150 and p60==CHAF1B directly interact and are both required for DNA replication-dependent assembly of nucleosomes. Deletion of the p60-binding domain from the p150 protein prevents chromatin assembly. p150 and p60 form complexes with newly synthesized histones H3 and acetylated H4 in human cell extracts, suggesting that such complexes are intermediates between histone synthesis and assembly onto replicating DNA.",,"WINAC, CAF-1",ENSDARG00000056473,epi,Chromatin remodelling,"chromatin assembly factor 1, subunit B",CAF-1 complex ; nucleus,histone binding,embryonic organ development ; mitotic cell cycle ; retina development in camera-type eye ; nucleosome assembly,#,,N1561,,linked to cell cycle / cell proliferation,7600578,T3,ACY9-ACY10,BC045906,1566,0,6 th sending,#,"H3, H4",pME18S-FL3,ZDB-GENE-040426-1947, ZDB-CDNA-040425-2894
V220,,FR_4803,rrp15,,,,ENSDARG00000013478,,,ribosomal RNA processing 15 homolog,NA,molecular_function,biological_process,,NR,N1593 ,,"NR more in eye, tectum, myotomes, branchial arches ",,T3,ACY9-ACY10,BC046037,1097,,5 th sending,,,pME18S-FL3,ZDB-GENE-030131-5261, ZDB-CDNA-040425-1002
V221,,FR_4828,vrk1,"Phosphorylates histones H3-S10, H3-T3.",,#,ENSDARG00000018006,epi,Histone modification write,vaccinia related kinase 1,Golgi stack ; nucleus,transferase activity ; nucleotide binding ; protein kinase activity ; ATP binding ; kinase activity ; protein serine/threonine kinase activity,Golgi disassembly ; cell division ; cell cycle ; mitotic nuclear division ; peptidyl-serine phosphorylation ; protein phosphorylation ; phosphorylation,Histone phosphorylation,NR,N1621 ,,"NR weak, more in eye, tectum",22194607,T3,ACY9-ACY10,BC047853,1562,,5 th sending,"H3S10ph, H3T3ph","H3S10, H3T3",pME18S-FL3,ZDB-GENE-040426-2709, ZDB-CDNA-040425-3656
V222,,FR_4852,kbtbd4,,,,ENSDARG00000069271,,,kelch repeat and BTB (POZ) domain containing 4,cellular_component,NA,biological_process,,NR,N1652 ,,NR,,T3,ACY9-ACY10,BC045989,1776,,5 th sending,,,pME18S-FL3,ZDB-GENE-040426-937, ZDB-CDNA-040425-1866
V223,,FR_4877,mospd1,,,,ENSDARG00000028614,,,motile sperm domain containing 1,membrane ; integral component of membrane,NA,biological_process,,NR,N1681 ,,NR,,T3,ACY9-ACY10,BC046085,1261,,5 th sending,,,pME18S-FL3,ZDB-GENE-040426-2691, ZDB-CDNA-040425-3638
V224,,FR_4906,wdr45,,,,ENSDARG00000090219,,,WD repeat domain 45,extrinsic component of membrane ; pre-autophagosomal structure membrane ; cytosol,"phosphatidylinositol-3,5-bisphosphate binding ; phosphatidylinositol-3-phosphate binding",protein localization to pre-autophagosomal structure ; nucleophagy ; protein lipidation ; mitophagy ; autophagosome assembly,,NR,N1711 ,,NR,,T3,ACY9-ACY10,BC046090,1415,,5 th sending,,,pME18S-FL3,ZDB-GENE-040426-990, ZDB-CDNA-040425-1921
V225,,FR_4934,slc46a1,,,,ENSDARG00000026149,,,"solute carrier family 46 (folate transporter), member 1",membrane ; integral component of membrane,folic acid binding,transport ; transmembrane transport,,NR,N1741 ,,NR,,T3,ACY9-ACY10,BC049421,1935,,5 th sending,,,pME18S-FL3,ZDB-GENE-040426-1012, ZDB-CDNA-040425-1943
V226,,FR_4963,rraga,,,,ENSDARG00000104149,,,Ras-related GTP binding A,Gtr1-Gtr2 GTPase complex,GTP binding ; GTPase activity,cellular response to starvation ; cellular response to amino acid stimulus,,NR,N1771 ,,"NR more in eye, tectum, myotomes, pronephric ducts ≥ 24h",,T3,ACY9-ACY10,BC049033,1351,,5 th sending,,,pME18S-FL3,ZDB-GENE-030131-4083, ZDB-CDNA-040425-1273
V227,,FR_4986,fbxo32,,,,ENSDARG00000040277,,,F-box protein 32,cellular_component,NA,NA,,,N1801,,"G : marginal YSL
ES : YSL
> Ø",,T3,ACY9-ACY10,BC052112,1804,2,5 th sending,,,pME18S-FL3,ZDB-GENE-040426-1040, ZDB-CDNA-040425-1972
V228,,FR_5019,psmd6,,,,ENSDARG00000070674,,,"proteasome 26S subunit, ATPase 1a","proteasome complex ; nuclear proteasome complex ; proteasome regulatory particle, base subcomplex ; cytosolic proteasome complex ; cytoplasm",nucleotide binding ; ATP binding ; hydrolase activity ; TBP-class protein binding ; proteasome-activating ATPase activity,ER-associated ubiquitin-dependent protein catabolic process ; protein catabolic process ; positive regulation of RNA polymerase II transcriptional preinitiation complex assembly,,NR,N1831 ,,NR,,T3,ACY9-ACY10,BC049452,1401,,6 th sending,,,pME18S-FL3,ZDB-GENE-030131-8730, ZDB-CDNA-040425-1970
V229,,FR_5045,sh3gl1a,,,,ENSDARG00000067958,,,SH3-domain GRB2-like 1a,cytoplasm,NA,NA,,,N1862 ,,"G - 36 h : EVL
4! h - 5 d: pharynx",,T3,ACY9-ACY10,BC049513,1460,1,5 th sending,,,pME18S-FL3,ZDB-GENE-030131-4524, ZDB-CDNA-040425-1295
V23,V444,CB998,bambia,,,,,,,BMP and activin membrane-bound inhibitor (Xenopus laevis) homolog a,membrane ; integral component of plasma membrane ; integral component of membrane,NA,positive regulation of canonical Wnt signaling pathway ; platelet activation ; negative regulation of BMP signaling pathway ; negative regulation of transforming growth factor beta receptor signaling pathway ; dorsal/ventral pattern formation,,,DG427,,BMP4 ?,,T7,PU-RP,CF673241,1.7,4,sending CB,,,pBSIISK+,ZDB-GENE-010416-1,
V230,,FR_5073,cdc27,,,,ENSDARG00000056258,,,cell division cycle 27,cellular_component,protein binding,cell division ; cell cycle,,NR,N1891 ,,NR,,T3,ACY9-ACY10,BC049466,2995,,6 th sending,,,pME18S-FL3,ZDB-GENE-990706-2, ZDB-CDNA-040425-135
V231,,FR_5099,rom1b,,,,ENSDARG00000026926,,,retinal outer segment membrane protein 1b,membrane ; integral component of plasma membrane ; integral component of membrane,NA,visual perception ; cell surface receptor signaling pathway,,,N1921,,"G - 36 h : Ø
48 h : ventral part of photoreceptor cell layer of retina
5 d: photoreceptor cell layer",,T3,ACY9-ACY10,BC049482,1584,4,11 th sending,,,pME18S-FL3,ZDB-GENE-040426-1073, ZDB-CDNA-040425-2005
V232,,FR_5124,nuf2,,,,ENSDARG00000034624,,,"NUF2, NDC80 kinetochore complex component, homolog","condensed chromosome kinetochore ; chromosome ; chromosome, centromeric region ; Ndc80 complex ; kinetochore ; nucleus",NA,cell division ; cell cycle ; mitotic nuclear division ; heart development,,,N1952,,linked to cell cycle / cell proliferation,,T3,ACY9-ACY10,BC050181,1640,1,11 th sending,,,pME18S-FL3,ZDB-GENE-040426-1121, ZDB-CDNA-040425-2053
V233,,FR_5149,tdo2b,,,,ENSDARG00000023176,,,"tryptophan 2,3-dioxygenase b",cellular_component,"dioxygenase activity ; metal ion binding ; heme binding ; oxidoreductase activity ; tryptophan 2,3-dioxygenase activity",tryptophan catabolic process to kynurenine ; tryptophan catabolic process ; oxidation-reduction process ; tryptophan catabolic process to acetyl-CoA,,,N1981,,"G - 48 h  : Ø
5 d: part of the intestine, liver",,T3,ACY9-ACY10,BC055123,1799,1,11 th sending,,,pME18S-FL3,ZDB-GENE-030131-6014, ZDB-CDNA-040425-1427
V234,,FR_5175,rars2,,,,ENSDARG00000032277,,,"arginyl-tRNA synthetase 2, mitochondrial (putative)",mitochondrion,aminoacyl-tRNA ligase activity ; ligase activity ; nucleotide binding ; arginine-tRNA ligase activity ; ATP binding,tRNA aminoacylation for protein translation ; brain morphogenesis ; mitochondrial translation ; arginyl-tRNA aminoacylation ; translation,,NR,N2011 ,,Head NR ≥ 24 h,,T3,ACY9-ACY10,BC056803,1928,,6 th sending,,,pME18S-FL3,ZDB-GENE-040426-1244, ZDB-CDNA-040425-2177
V235,,FR_5199,fpgs,,,,ENSDARG00000044809,,,folylpolyglutamate synthase,cellular_component,tetrahydrofolylpolyglutamate synthase activity ; ligase activity ; ATP binding,folic acid-containing compound biosynthetic process ; biosynthetic process ; tetrahydrofolylpolyglutamate biosynthetic process ; one-carbon metabolic process,,,N2041,,"G - MS : YSL
24 h : YSl, eye, midbrain
36 h : + liver primordium
48 h : retina proliferative zone, posterior tectum, liver ++",,T3,ACY9-ACY10,BC058343,2577,2,11 th sending,,,pME18S-FL3,ZDB-GENE-040426-2781, ZDB-CDNA-040425-3728
V236,,FR_5227,atp6v0d1,,,,ENSDARG00000069090,,,"ATPase, H+ transporting, lysosomal accessory protein 2",membrane ; integral component of membrane,receptor activity,intrahepatic bile duct development,,,N2071,,"G - ES : Ø
MS : weak in trigeminal ganglia
24 - 36 h : epiphysis, neurons in marginal zone, mucous cells
48 h : brain, cranial ganglia (Ø in  ventricular zone)",,T3,ACY9-ACY10,BC056822,2134,2,11 th sending,,,pME18S-FL3,ZDB-GENE-040426-1960, ZDB-CDNA-040425-1162
V237,,FR_5253,cyp2p9,,,,ENSDARG00000022631,,,"cytochrome P450, family 4, subfamily V, polypeptide 8",membrane ; integral component of membrane,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; iron ion binding ; metal ion binding ; monooxygenase activity ; heme binding ; oxidoreductase activity",oxidation-reduction process,,,N2101,,"G - 24 h : Ø
36 h : liver primordium
48 h : liver, intestinal bulb, intestine
5 d: liver, intestinal bulb",,T3,ACY9-ACY10,BC056816,2347,2,11 th sending,,,pME18S-FL3,ZDB-GENE-061103-601, ZDB-CDNA-040425-219
V238,,FR_5271,krit1,,,,ENSDARG00000098916,,,"KRIT1, ankyrin repeat containing",cell junction ; cytoskeleton ; microtubule ; membrane ; plasma membrane ; cytoplasm,NA,endothelial cell morphogenesis ; negative regulation of endothelial cell differentiation ; blood vessel lumenization ; heart morphogenesis ; blood vessel development ; vacuole organization ; multicellular organism development ; blood vessel morphogenesis ; vasculogenesis ; angiogenesis ; heart development,,NR,N2131 ,,NR,,T3,ACY9-ACY10,BC055149,1668,,6 th sending,,,pME18S-FL3,ZDB-GENE-030131-555, ZDB-CDNA-040425-1099
V239,,FR_5283,cyp4v8,,,,,,,"cytochrome P450, family 4, subfamily V, polypeptide 8",membrane ; integral component of membrane,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; iron ion binding ; metal ion binding ; monooxygenase activity ; heme binding ; oxidoreductase activity",oxidation-reduction process,,,N2163,,"G - ES : Ø
MS : ventral hematopoietic mesoderm
24 h : ICM
> : Ø",,T3,ACY9-ACY10,BC055161,1851,1,11 th sending,,,pME18S-FL3,ZDB-GENE-061103-601,
V240,,FR_5298,romo1,,,,ENSDARG00000038076,,,reactive oxygen species modulator 1,mitochondrial inner membrane ; membrane ; mitochondrion ; integral component of membrane,NA,positive regulation of reactive oxygen species metabolic process ; cellular response to reactive oxygen species ; replicative cell aging ; positive regulation of cell proliferation ; defense response to bacterium,,,N2194,,"G - MS : Ø
24 h : retina, tectum, myotomes
36 h : retina, tectum, mytomes
48 h : + pectoral fin, liver",,T7,PU-RP,BC059661,942,1,11 th sending,,,pBluescriptSK-,ZDB-GENE-040426-1768, ZDB-CDNA-040425-2708
V241,,FR_5315,tmed10,,,,ENSDARG00000041391,,,transmembrane p24 trafficking protein 10,membrane ; integral component of membrane,NA,transport,,,N2221,,"G : axis
ES : polster, notochord
MS : NR more in notochord, hatching gland
24 - 48 h : NR
5 d: pancreas",,T7,PU-RP,BC059496,1747,1,11 th sending,,,pBluescriptSK-,ZDB-GENE-030131-4915, ZDB-CDNA-040425-1339
V242,,FR_5336,tph1a,,,,ENSDARG00000029432,,,tryptophan hydroxylase 1 (tryptophan 5-monooxygenase) a,NA,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen ; iron ion binding ; tryptophan 5-monooxygenase activity ; amino acid binding ; metal ion binding ; monooxygenase activity",aromatic amino acid family metabolic process ; serotonin biosynthetic process ; metabolic process ; oxidation-reduction process,,,N2251,,"G - MS : Ø
24 h : epiphysis, ventral spinal chord neurons
36 h - 5 d : epiphysis",,T7,PU-RP,BC059550,1710,3,11 th sending,,,pBluescriptSK-,ZDB-GENE-030317-1, ZDB-CDNA-040425-930
V243,,FR_5363,mpeg1.1,,,,ENSDARG00000055290,,,"macrophage expressed 1, tandem duplicate 1",membrane ; integral component of membrane,molecular_function,defense response to bacterium,,,N2281,,"G - MS : Ø
24 h - 5 d : macrophages",,T3,ACY9-ACY10,BC055644,2638,3,12 th sending,,,pME18S-FL3,ZDB-GENE-030131-7347, ZDB-CDNA-040425-3683
V244,,FR_5390,nedd8,,,,ENSDARG00000007989,,,"neural precursor cell expressed, developmentally down-regulated 8, like",.,,,,NR,N2312 ,,NR,,T3,ACY9-ACY10,BC055645,658,,11 th sending,,,pME18S-FL3,ZDB-GENE-040718-295, ZDB-CDNA-040425-571
V245,,FR_5414,dync2li1,,,,ENSDARG00000039770,,,"dynein, axonemal, intermediate chain 1, paralog 2",cellular_component,molecular_function,biological_process,,,N2343,,"G - ES: Ø
MS : eye, tectum
24 h : eye, tectum, myotomes
36 - 48 h : retina proliferative zone, posterior tectum, pectoral fin muscles, branchial arches",,T3,ACY9-ACY10,BC055198,1443,1,12 th sending,,,pME18S-FL3,ZDB-GENE-070112-1302, ZDB-CDNA-040425-2163
V246,,FR_5432,mhc1uxa2,,,,,,,major histocompatibility complex class I UXA2,,,,,NR,N2371 ,,NR,,T7,T7-SP6,BC066745,1207,,11 th sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-1425,
V247,,FR_5441,ipo7,,,,ENSDARG00000035751,,,importin 7,membrane ; nuclear envelope ; cytosol ; integral component of membrane,Ran GTPase binding ; protein transporter activity,protein import into nucleus ; signal transduction ; intracellular protein transport,,NR,N2405 ,,NR,,T7,T7-SP6,BC066524,4731,,11 th sending,,,pCMV-SPORT6.1,ZDB-GENE-030131-458, ZDB-CDNA-040425-2573
V248,,FR_5451,ppm1aa,,,,ENSDARG00000032155,,,"protein phosphatase, Mg2+/Mn2+ dependent, 1Aa",NA,cation binding ; manganese ion binding ; metal ion binding ; catalytic activity ; protein serine/threonine phosphatase activity ; phosphoprotein phosphatase activity ; hydrolase activity ; magnesium ion binding,protein dephosphorylation,,NR,N2431 ,,NR,,T7,T7-SP6,BC066510,1924,,11 th sending,,,pCMV-SPORT6.1,ZDB-GENE-991102-15, ZDB-CDNA-040425-682
V249,,FR_5457,nudcd3,,,,ENSDARG00000098361,,,NudC domain containing 3,cellular_component,molecular_function,biological_process,,NR,N2461 ,,NR,,T7,T7-SP6,BC065992,1418,,11 th sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-2255, ZDB-CDNA-040425-3202
V250,,FR_5470,rpf2,,,,ENSDARG00000043960,,,ribosome production factor 2 homolog,nucleolus,rRNA binding,"ribosomal large subunit assembly ; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,,N2492,tested-OV,"G : NR
ES : anterior neural plate and segmental plate
MS : NR, eye, midbrain, somites
24 h : eye, tectum, myotomes, branchial arches, blood
36 - 48 h : eye proliferative zone, posterior tectum, branchial arches, pectoral fin, gut",,T7,T7-SP6,BC065672,1793,1,15 th sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-2501, ZDB-CDNA-040425-3448
V251,,FR_5480,srsf7a,,,,ENSDARG00000035325,,,serine/arginine-rich splicing factor 7a,cellular_component,nucleotide binding ; metal ion binding ; nucleic acid binding ; zinc ion binding,NA,,NR,N2523 ,,NR,,T7,T7-SP6,BC065586,1500,,11 th sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-1798, ZDB-CDNA-040425-2738
V252,,FR_5488,hes6,,,,ENSDARG00000019335,,,hes family bHLH transcription factor 6,transcriptional repressor complex ; nucleus,protein dimerization activity ; protein heterodimerization activity ; DNA binding,"transcription, DNA-templated ; regulation of transcription, DNA-templated ; negative regulation of transcription, DNA-templated ; somitogenesis",,,N2551,tested-OV,"G : margin
ES : paraxial mesoderm, tail bud
MS : telencephalon, paraxial mesoderm,  tail bud
24 - 48 h : retina, CNS subventricular zone",,T7,T7-SP6,BC065599,1294,3,12 th sending,,,pCMV-SPORT6.1,ZDB-GENE-030828-5, ZDB-CDNA-040425-366
V253,,FR_5497,sox9b,,,,ENSDARG00000043923,,,SRY (sex determining region Y)-box 9b,nucleus,"RNA polymerase II transcription factor activity, sequence-specific DNA binding","heart valve development ; visceral serous pericardium development ; palate development ; hepaticobiliary system development ; proepicardium development ; regeneration ; inner ear development ; iridophore differentiation ; melanocyte differentiation ; otic vesicle formation ; retina development in camera-type eye ; regulation of transcription, DNA-templated ; embryonic pectoral fin morphogenesis ; otic placode formation ; pancreas development ; cartilage development",,,N2583,tested-OV,"G : Ø
ES : polster, neural crest cells
MS : ventral diencephalon, otic vesicle, neural crest cells +++
24 h : anterior forebrain, eye, epiphysis, branchial arches, rhombomeres boundaries +++
36 h : anterior forebrain, eye, epiphysis, branchial arches, rhombomeres boundaries +++, gall blader (?)
48 h : eye, brain  ventricular zone, part of branchial arches, pectoral fin ++",,T7,T7-SP6,BC067133,3510,4,12 th sending,,,pCMV-SPORT6.1,ZDB-GENE-001103-2, ZDB-CDNA-040425-873
V254,,FR_5517,nucb2a,,,,ENSDARG00000036299,,,nucleobindin 2a,NA,calcium ion binding,NA,,,N2611,tested,"NR
G : Ø
ES : axis, polster, somites
MS : axis
24 h : tail somites, axial vasculature, head blood vessels (at the MHB level)
36 - 48 h : NR, head, pectoral fin, cleithrum",,T7,AIC287-M13F or PU,BC065437,1796,1,16 th sending,,,pExpress-1,ZDB-GENE-030826-14, ZDB-CDNA-040425-596
V255,,FR_5533,sapcd2,,,,,,,suppressor APC domain containing 2,,,,,,N2660,,"G : NR more in axis
ES - MS : salt and pepper pattern linked to cell cycle/ proliferative
24 - 36 h : CNS, salt and pepper
48 h : CNS proliferative zone",,T7,T7-SP6,BC067151,2110,0,12 th sending,,,pCMV-SPORT6.1,ZDB-GENE-050128-1,
V256,,FR_5542,etv4,,,,ENSDARG00000018303,,,ets variant 4,nucleus,"RNA polymerase II transcription factor activity, sequence-specific DNA binding ; sequence-specific DNA binding ; DNA binding ; transcription factor activity, sequence-specific DNA binding","limb morphogenesis ; transcription, DNA-templated ; cell differentiation ; regulation of transcription, DNA-templated ; regulation of transcription from RNA polymerase II promoter ; pronephros development ; positive regulation of transcription, DNA-templated",,,N2671,tested-OV,"G : margin, axis
ES : posterior mesoderm, notochord, MHB, neural crest or mesoderm at this presumptive branchial arches level
MS : paraxial mesoderm segmental plate, notochord, somites, tail bud, head epidermis, head mesenchyme (at the level of branchial arches) PGCs (?), MHB, posterior midbrain, spinal chord neurons, lens placode, optic stalk
24 h : part of telencephalon, optic stalk, lens, branchial arches, cranial ganglia, lateral line, spinal chord neurons, MHB, pancreas, pectoral fin bud
36 h : lens, optic stalk, branchial arches, pectoral fin, pancreas, MHB, otic vesicle
48 h : lens (midbrain, hindbrain) ventricular zone, otic vesicle, branchial arches, pectoral fin, anterior lateral line neuromasts/
",,T7,T7-SP6,BC066500,1840,4,12 th sending,,,pCMV-SPORT6.1,ZDB-GENE-990415-71, ZDB-CDNA-040425-643
V257,,FR_5564,sf3a1,,,,ENSDARG00000041887,,,"splicing factor 3a, subunit 1",U2 snRNP ; U2-type prespliceosome ; catalytic step 2 spliceosome,RNA binding,mRNA 3'-splice site recognition ; RNA processing,,NR,N2701 ,,NR,,T7,T7-SP6,BC066392,2782,,12 th sending,,,pCMV-SPORT6.1,ZDB-GENE-030616-156, ZDB-CDNA-040425-821
V258,,FR_5580,znf410,,,,ENSDARG00000008218,,,zinc finger protein 410,NA,metal ion binding ; nucleic acid binding,NA,,NR,N2731 ,,NR,,T7,T7-SP6,BC065642,1407,,12 th sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-1817, ZDB-CDNA-040425-2757
V259,,FR_5726,hmga2,,,,ENSDARG00000069912,,,high mobility group AT-hook 2,chromatin ; nucleus,"DNA-(apurinic or apyrimidinic site) lyase activity ; DNA binding ; transcription factor activity, sequence-specific DNA binding","base-excision repair ; regulation of transcription, DNA-templated",,,N2761,tested,"G - ES : Ø
MS : anterior diencephalon, head mesenchyme, pronephric ducts, dorsal part of somites, otic placodes
24 h : head mesenchyme, pronephric ducts, gut, pectoral fin bud, branchial arches, choroid fissure
36 h : head mesenchyme, midbrain hindbrain boundary, brain ventricular zone, pectoral fin, choroid fissure
48 h : same, + pectoral fin, choroid fissure",,T7,AIC287-M13F or PU,BC065852,1398,3,16 th sending,,,pExpress-1,ZDB-GENE-030131-3148, ZDB-CDNA-040425-3240
V260,,FR_6818,zp2.4,,,,,,,"zona pellucida glycoprotein 2, tandem duplicate 4",.,,,,,N2791,tested-OV,"G : NR
ES : anterior neural plate
MS : YSL, eye, midbrain, anterior spinal chord
24 h : eye, midbrain-hindbrain boundary, YSL, branchial arches, anterior spinal chord
36 h : YSL, eye, midbrain, cerebellum, dorsal diencephalon, forebrain ventricular zone, branchial arches, pectoral fin bud, anterior spinal chord
48 h : retina proliferative zone, tectum, branchial arches, pectoral fin",,T3,ACY9-ACY10,BC058510,2247,2,13 th sending,,,pME18S-FL3,ZDB-GENE-010622-3,
V261,,FR_6842,tmem110,,,,ENSDARG00000013694,,,transmembrane protein 110,membrane ; integral component of membrane,molecular_function,biological_process,,NR,N2821,,NR,,T3,ACY9-ACY10,BC055172,1867,,13 th sending,,,pME18S-FL3,ZDB-GENE-040426-1198, ZDB-CDNA-040425-2131
V262,,FR_6671,adob,,,,,,,2-aminoethanethiol (cysteamine) dioxygenase b,mitochondrion,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen ; dioxygenase activity ; oxidoreductase activity",oxidation-reduction process,,,N2861,tested-OV,"G - MS : Ø
24 h : lens, YSL, pronephric ducts, weak in myotomes (Ø in myotomes)
36 h : lens, YSL, pronephric ducts
48 h : YSL, liver, posterior dorsal tectum, lens, anterior axial dorsal telencephalon
5 d : YSL, liver",,T7,AIC287-M13F or PU,BC065461,1837,2,13 th sending,,,pExpress-1,ZDB-GENE-040426-2267,
V263,,FR_6880,leg1.2,,,,ENSDARG00000095751,,,zgc:77778,extracellular region ; extracellular space,molecular_function,liver development ; digestive system development ; multicellular organism development,,,N2881,tested,"G - MS : Ø
24 h : YSL on the yolk tube extension
36 - 48 h : weak in ventral most YSL
5 d : liver",,T7,AIC287-M13F or PU,BC065450,1242,2,13 th sending,,,pExpress-1,ZDB-GENE-040426-2281, ZDB-CDNA-040425-3228
V264,,FR_6905,asb7,,,,ENSDARG00000006494,,,ankyrin repeat and SOCS box containing 7,NA,molecular_function,intracellular signal transduction ; protein ubiquitination,,NR,N2911 ,,NR,,T7,T7-SP6,BC065964,1554,,13 th sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-2429, ZDB-CDNA-040425-3376
V265,,FR_6925,jun,,,,ENSDARG00000043531,,,jun proto-oncogene,nuclear chromatin ; transcription factor complex,"transcription factor binding ; RNA polymerase II core promoter proximal region sequence-specific DNA binding ; transcription coactivator activity ; RNA polymerase II transcription factor activity, sequence-specific DNA binding ; sequence-specific DNA binding ; beta-catenin binding ; DNA binding ; transcription factor activity, sequence-specific DNA binding","response to cadmium ion ; response to methylmercury ; response to cAMP ; transcription, DNA-templated ; response to radiation ; positive regulation of cell differentiation ; response to mechanical stimulus ; response to cytokine ; cellular response to hormone stimulus ; regulation of cell death ; response to lipopolysaccharide ; response to drug ; regulation of cell cycle ; regulation of transcription, DNA-templated ; regulation of cell proliferation ; negative regulation of transcription from RNA polymerase II promoter ; canonical Wnt signaling pathway ; positive regulation of transcription from RNA polymerase II promoter",,,N2942,tested,"G : Ø
ES : axis weak
MS : ventral mesenchyme, epidermis, adaxial cells (muscle pioneers)
24 h : nose, heart, lateral line ++, muscle pioneers, ventral caudal somites, epidermis
36 h : nose, heart, lateral line ++, muscle pioneers, ventral caudal somites, epidermis, head mesenchyme
48 h : head mesenchyme, branchial arches, mesenchyme around pectoral fin, oesophagus",,T7,T7-SP6,BC065976,1923,3,13 th sending,,,pCMV-SPORT6.1,ZDB-GENE-030131-7859, ZDB-CDNA-040425-1514
V266,,FR_6941,mycla,,,,ENSDARG00000006003,,,v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog a,nucleus,"protein dimerization activity ; DNA binding ; transcription factor activity, sequence-specific DNA binding","regulation of transcription, DNA-templated",,NR,N2971 ,,NR,,T7,T7-SP6,BC067723,1788,,13 th sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-2439, ZDB-CDNA-040425-3386
