si:ch211-64i20.6 [Source:ZFIN;Acc:ZDB-GENE-141212-85]
microtubule associated serine/threonine kinase family member 4 [Source:ZFIN;Acc:ZDB-GENE-070912-336]
si:ch73-144l3.2 [Source:ZFIN;Acc:ZDB-GENE-131121-536]
si:ch73-144l3.2 [Source:ZFIN;Acc:ZDB-GENE-131121-536]
si:ch211-248g18.6 [Source:ZFIN;Acc:ZDB-GENE-131127-457]
si:dkey-15b23.1 [Source:ZFIN;Acc:ZDB-GENE-141222-61]
si:dkey-15b23.1 [Source:ZFIN;Acc:ZDB-GENE-141222-61]
si:dkey-15b23.1 [Source:ZFIN;Acc:ZDB-GENE-141222-61]
si:ch211-202n12.3 [Source:ZFIN;Acc:ZDB-GENE-121214-10]
si:ch211-202n12.3 [Source:ZFIN;Acc:ZDB-GENE-121214-10]
si:ch211-202n12.3 [Source:ZFIN;Acc:ZDB-GENE-121214-10]
si:ch211-39n21.1 [Source:ZFIN;Acc:ZDB-GENE-070424-185]
si:dkey-193d10.4 [Source:ZFIN;Acc:ZDB-GENE-131127-251]
si:dkey-193d10.10 [Source:ZFIN;Acc:ZDB-GENE-131121-458]
si:ch211-10h13.2 [Source:ZFIN;Acc:ZDB-GENE-070912-14]
si:dkey-174e24.2 [Source:ZFIN;Acc:ZDB-GENE-160728-112]
si:dkey-159f4.2 [Source:ZFIN;Acc:ZDB-GENE-131121-601]
si:dkey-224k5.13 [Source:ZFIN;Acc:ZDB-GENE-141216-341]
si:ch73-25h12.2 [Source:ZFIN;Acc:ZDB-GENE-131127-319]
si:ch211-202e12.3 [Source:ZFIN;Acc:ZDB-GENE-060526-81]
si:ch211-202e12.3 [Source:ZFIN;Acc:ZDB-GENE-060526-81]
si:ch211-202e12.3 [Source:ZFIN;Acc:ZDB-GENE-060526-81]
si:ch211-202e12.3 [Source:ZFIN;Acc:ZDB-GENE-060526-81]
si:ch211-214j8.15 [Source:ZFIN;Acc:ZDB-GENE-060526-103]
si:ch211-84g22.1 [Source:ZFIN;Acc:ZDB-GENE-080917-29]
si:ch1073-443n13.2 [Source:ZFIN;Acc:ZDB-GENE-131127-214]
si:ch211-194p6.11 [Source:ZFIN;Acc:ZDB-GENE-160728-56]
si:ch211-194p6.11 [Source:ZFIN;Acc:ZDB-GENE-160728-56]
si:ch211-194p6.13 [Source:ZFIN;Acc:ZDB-GENE-160728-1]
si:ch211-197e18.1 [Source:ZFIN;Acc:ZDB-GENE-131126-20]
si:rp71-4m17.2 [Source:ZFIN;Acc:ZDB-GENE-121214-284]
si:dkey-199l17.8 [Source:ZFIN;Acc:ZDB-GENE-131127-325]
si:ch73-223p23.1 [Source:ZFIN;Acc:ZDB-GENE-131121-387]
si:dkeyp-92f10.1 [Source:ZFIN;Acc:ZDB-GENE-141222-18]
si:dkeyp-92f10.1 [Source:ZFIN;Acc:ZDB-GENE-141222-18]
si:dkeyp-92f10.1 [Source:ZFIN;Acc:ZDB-GENE-141222-18]
si:ch1073-209b21.1 [Source:ZFIN;Acc:ZDB-GENE-130603-62]
si:dkey-182g1.8 [Source:ZFIN;Acc:ZDB-GENE-100922-194]
si:ch211-222d3.3 [Source:ZFIN;Acc:ZDB-GENE-091113-10]
si:ch211-222d3.4 [Source:ZFIN;Acc:ZDB-GENE-091204-104]
si:ch211-262i1.2 [Source:ZFIN;Acc:ZDB-GENE-141216-186]
si:ch211-280a23.3 [Source:ZFIN;Acc:ZDB-GENE-131121-419]
si:dkey-192l18.10 [Source:ZFIN;Acc:ZDB-GENE-120709-107]
si:ch211-217g15.9 [Source:ZFIN;Acc:ZDB-GENE-141216-424]
si:zfos-1169d6.1 [Source:ZFIN;Acc:ZDB-GENE-131127-311]
si:dkey-150l7.10 [Source:ZFIN;Acc:ZDB-GENE-160728-21]
si:ch73-243e13.1 [Source:ZFIN;Acc:ZDB-GENE-121214-318]
si:dkey-202i12.5 [Source:ZFIN;Acc:ZDB-GENE-110411-21]
si:dkey-202i12.5 [Source:ZFIN;Acc:ZDB-GENE-110411-21]
si:dkey-148n20.1 [Source:ZFIN;Acc:ZDB-GENE-160112-1]
si:dkey-148n20.1 [Source:ZFIN;Acc:ZDB-GENE-160112-1]
si:dkey-148n20.1 [Source:ZFIN;Acc:ZDB-GENE-160112-1]
si:dkey-148n20.1 [Source:ZFIN;Acc:ZDB-GENE-160112-1]
si:dkeyp-14f10.3 [Source:ZFIN;Acc:ZDB-GENE-131127-529]
si:dkey-19d21.3 [Source:ZFIN;Acc:ZDB-GENE-131127-607]
si:dkey-175g6.6 [Source:ZFIN;Acc:ZDB-GENE-131121-513]
si:zfos-1169d6.2 [Source:ZFIN;Acc:ZDB-GENE-131121-252]
si:ch73-22a13.1 [Source:ZFIN;Acc:ZDB-GENE-141216-321]
si:dkey-19d21.1 [Source:ZFIN;Acc:ZDB-GENE-131127-594]
si:dkey-19d21.2 [Source:ZFIN;Acc:ZDB-GENE-131119-1]
si:dkey-19d21.2 [Source:ZFIN;Acc:ZDB-GENE-131119-1]
si:dkey-19d21.2 [Source:ZFIN;Acc:ZDB-GENE-131119-1]
si:ch211-207l3.2 [Source:ZFIN;Acc:ZDB-GENE-131121-291]
si:ch211-165f21.1 [Source:ZFIN;Acc:ZDB-GENE-060503-860]
si:ch211-165f21.1 [Source:ZFIN;Acc:ZDB-GENE-060503-860]
si:ch211-274e20.4 [Source:ZFIN;Acc:ZDB-GENE-160728-14]
si:ch211-274e20.4 [Source:ZFIN;Acc:ZDB-GENE-160728-14]
si:ch211-274e20.4 [Source:ZFIN;Acc:ZDB-GENE-160728-14]
si:ch211-274e20.4 [Source:ZFIN;Acc:ZDB-GENE-160728-14]
si:ch211-274e20.4 [Source:ZFIN;Acc:ZDB-GENE-160728-14]
si:ch211-274e20.4 [Source:ZFIN;Acc:ZDB-GENE-160728-14]
si:ch211-274e20.4 [Source:ZFIN;Acc:ZDB-GENE-160728-14]
si:ch211-274e20.4 [Source:ZFIN;Acc:ZDB-GENE-160728-14]
si:ch211-274e20.4 [Source:ZFIN;Acc:ZDB-GENE-160728-14]
si:ch211-274e20.4 [Source:ZFIN;Acc:ZDB-GENE-160728-14]
si:ch211-139o14.2 [Source:ZFIN;Acc:ZDB-GENE-131127-200]
si:ch211-195b13.9 [Source:ZFIN;Acc:ZDB-GENE-131121-548]
si:ch211-59g22.1 [Source:ZFIN;Acc:ZDB-GENE-100922-131]
si:ch211-59g22.2 [Source:ZFIN;Acc:ZDB-GENE-121214-118]
si:ch211-281k12.4 [Source:ZFIN;Acc:ZDB-GENE-041210-55]
si:ch1073-328c12.2 [Source:ZFIN;Acc:ZDB-GENE-131127-597]
si:ch211-149e23.7 [Source:ZFIN;Acc:ZDB-GENE-131121-623]
si:ch211-149e23.7 [Source:ZFIN;Acc:ZDB-GENE-131121-623]
si:ch211-149e23.7 [Source:ZFIN;Acc:ZDB-GENE-131121-623]
si:dkey-228l14.2 [Source:ZFIN;Acc:ZDB-GENE-121214-188]
si:zfos-1169d6.3 [Source:ZFIN;Acc:ZDB-GENE-131127-373]
si:ch1073-147e4.1 [Source:ZFIN;Acc:ZDB-GENE-131121-500]
si:dkey-156n14.6 [Source:ZFIN;Acc:ZDB-GENE-120215-205]
si:ch1073-235i16.2 [Source:ZFIN;Acc:ZDB-GENE-131125-93]
si:ch73-226l13.3 [Source:ZFIN;Acc:ZDB-GENE-141216-256]
si:dkey-156n14.7 [Source:ZFIN;Acc:ZDB-GENE-120215-217]
si:dkey-156n14.8 [Source:ZFIN;Acc:ZDB-GENE-120215-251]
si:dkey-156n14.9 [Source:ZFIN;Acc:ZDB-GENE-120215-158]
si:ch73-104f13.3 [Source:ZFIN;Acc:ZDB-GENE-141216-495]
si:ch73-59f11.2 [Source:ZFIN;Acc:ZDB-GENE-131127-566]
si:ch73-59f11.2 [Source:ZFIN;Acc:ZDB-GENE-131127-566]
si:ch73-167f18.3 [Source:ZFIN;Acc:ZDB-GENE-110411-36]
si:dkey-77g12.2 [Source:ZFIN;Acc:ZDB-GENE-141216-94]
si:dkey-235h8.1 [Source:ZFIN;Acc:ZDB-GENE-060526-268]
si:ch211-188c11.2 [Source:ZFIN;Acc:ZDB-GENE-141216-466]
si:ch211-239i4.5 [Source:ZFIN;Acc:ZDB-GENE-141216-360]
si:dkey-183k8.1 [Source:ZFIN;Acc:ZDB-GENE-131127-638]
si:dkey-183k8.1 [Source:ZFIN;Acc:ZDB-GENE-131127-638]
si:dkey-286j7.1 [Source:ZFIN;Acc:ZDB-GENE-050420-137]
si:ch73-167f18.4 [Source:ZFIN;Acc:ZDB-GENE-110411-172]
si:ch211-129n18.2 [Source:ZFIN;Acc:ZDB-GENE-141216-332]
si:ch211-252p18.1 [Source:ZFIN;Acc:ZDB-GENE-141216-320]
si:ch211-129n18.1 [Source:ZFIN;Acc:ZDB-GENE-141216-281]
si:dkey-246m18.5 [Source:ZFIN;Acc:ZDB-GENE-131127-649]
si:ch211-176i7.2 [Source:ZFIN;Acc:ZDB-GENE-141216-456]
si:dkeyp-12a4.1 [Source:ZFIN;Acc:ZDB-GENE-141216-437]
si:ch73-274k23.3 [Source:ZFIN;Acc:ZDB-GENE-131121-276]
si:ch73-223f1.5 [Source:ZFIN;Acc:ZDB-GENE-141212-154]
si:ch211-266i2.2 [Source:ZFIN;Acc:ZDB-GENE-141216-423]
si:ch73-162j3.5 [Source:ZFIN;Acc:ZDB-GENE-131127-439]
si:ch1073-362i17.1 [Source:ZFIN;Acc:ZDB-GENE-131127-422]
si:ch211-222h17.9 [Source:ZFIN;Acc:ZDB-GENE-110411-162]
si:dkey-39c7.2 [Source:ZFIN;Acc:ZDB-GENE-160728-96]
si:dkey-88n2.1 [Source:ZFIN;Acc:ZDB-GENE-141216-253]
si:dkey-12n16.1 [Source:ZFIN;Acc:ZDB-GENE-070705-294]
si:ch73-87e17.1 [Source:ZFIN;Acc:ZDB-GENE-141216-197]
si:ch211-147k10.6 [Source:ZFIN;Acc:ZDB-GENE-050208-254]
si:ch211-147k10.6 [Source:ZFIN;Acc:ZDB-GENE-050208-254]
si:ch1073-358o18.3 [Source:ZFIN;Acc:ZDB-GENE-131121-198]
si:ch1073-20k20.1 [Source:ZFIN;Acc:ZDB-GENE-160114-47]
si:ch211-143l19.2 [Source:ZFIN;Acc:ZDB-GENE-141216-306]
si:ch211-143l19.2 [Source:ZFIN;Acc:ZDB-GENE-141216-306]
si:dkey-270j5.1 [Source:ZFIN;Acc:ZDB-GENE-131127-472]
si:ch73-212p10.2 [Source:ZFIN;Acc:ZDB-GENE-141216-20]
si:ch73-212p10.1 [Source:ZFIN;Acc:ZDB-GENE-141222-95]
si:dkeyp-71e8.4 [Source:ZFIN;Acc:ZDB-GENE-160728-99]
si:dkeyp-71e8.4 [Source:ZFIN;Acc:ZDB-GENE-160728-99]
si:ch211-112b1.3 [Source:ZFIN;Acc:ZDB-GENE-121214-257]
si:dkeyp-77c4.2 [Source:ZFIN;Acc:ZDB-GENE-131120-3]
si:ch211-194c21.1 [Source:ZFIN;Acc:ZDB-GENE-090313-62]
si:ch1073-358o18.1 [Source:ZFIN;Acc:ZDB-GENE-141212-395]
si:rp71-26b20.1 [Source:ZFIN;Acc:ZDB-GENE-091116-47]
si:ch211-239d6.3 [Source:ZFIN;Acc:ZDB-GENE-141216-362]
si:ch1073-210e22.1 [Source:ZFIN;Acc:ZDB-GENE-131120-178]
si:ch1073-210e22.1 [Source:ZFIN;Acc:ZDB-GENE-131120-178]
si:ch1073-210e22.1 [Source:ZFIN;Acc:ZDB-GENE-131120-178]
si:ch211-198f4.4 [Source:ZFIN;Acc:ZDB-GENE-091204-325]
si:ch1073-801g21.1 [Source:ZFIN;Acc:ZDB-GENE-160113-75]
si:dkey-234i14.20 [Source:ZFIN;Acc:ZDB-GENE-131125-3]
si:dkey-35n12.1 [Source:ZFIN;Acc:ZDB-GENE-141216-106]
si:dkeyp-121d2.4 [Source:ZFIN;Acc:ZDB-GENE-141216-385]
si:ch211-239d6.4 [Source:ZFIN;Acc:ZDB-GENE-141215-44]
si:dkey-19n13.5 [Source:ZFIN;Acc:ZDB-GENE-100922-90]
si:dkey-117j14.7 [Source:ZFIN;Acc:ZDB-GENE-131120-91]
si:ch211-267k22.1 [Source:ZFIN;Acc:ZDB-GENE-060503-510]
si:rp71-46j2.3 [Source:ZFIN;Acc:ZDB-GENE-030616-71]
si:rp71-46j2.6 [Source:ZFIN;Acc:ZDB-GENE-160114-48]
si:rp71-46j2.6 [Source:ZFIN;Acc:ZDB-GENE-160114-48]
si:rp71-46j2.6 [Source:ZFIN;Acc:ZDB-GENE-160114-48]
si:dkeyp-2g11.1 [Source:ZFIN;Acc:ZDB-GENE-131127-322]
si:ch73-267i21.1 [Source:ZFIN;Acc:ZDB-GENE-131127-622]
si:dkey-85n7.11 [Source:ZFIN;Acc:ZDB-GENE-130603-59]
si:ch73-365i12.5 [Source:ZFIN;Acc:ZDB-GENE-131121-330]
si:dkey-51d8.11 [Source:ZFIN;Acc:ZDB-GENE-110914-82]
si:dkey-42i9.15 [Source:ZFIN;Acc:ZDB-GENE-110411-24]
si:dkey-51d8.10 [Source:ZFIN;Acc:ZDB-GENE-110914-87]
endogenous retrovirus [Source:ZFIN;Acc:ZDB-GENE-130530-538]
si:dkey-24d19.3 [Source:ZFIN;Acc:ZDB-GENE-030131-3503]
si:dkey-24d19.3 [Source:ZFIN;Acc:ZDB-GENE-030131-3503]
si:zfos-800b6.1 [Source:ZFIN;Acc:ZDB-GENE-160114-14]
si:ch211-260g14.10 [Source:ZFIN;Acc:ZDB-GENE-130603-89]
si:dkeyp-2g11.2 [Source:ZFIN;Acc:ZDB-GENE-131125-18]
si:ch73-316k5.5 [Source:ZFIN;Acc:ZDB-GENE-110914-229]
si:ch211-160d20.6 [Source:ZFIN;Acc:ZDB-GENE-131121-341]
si:ch211-160d20.6 [Source:ZFIN;Acc:ZDB-GENE-131121-341]
si:cabz01058277.1 [Source:ZFIN;Acc:ZDB-GENE-160114-7]
si:ch211-203d7.1 [Source:ZFIN;Acc:ZDB-GENE-131127-602]
si:ch211-203d7.1 [Source:ZFIN;Acc:ZDB-GENE-131127-602]
si:dkey-29g22.2 [Source:ZFIN;Acc:ZDB-GENE-131122-43]
si:dkey-29g22.2 [Source:ZFIN;Acc:ZDB-GENE-131122-43]
si:dkey-265a11.3 [Source:ZFIN;Acc:ZDB-GENE-131126-71]
si:dkey-105h12.5 [Source:ZFIN;Acc:ZDB-GENE-131121-465]
si:dkey-23p14.3 [Source:ZFIN;Acc:ZDB-GENE-160114-46]
si:dkey-6d5.4 [Source:ZFIN;Acc:ZDB-GENE-141216-122]
si:dkey-241f8.1 [Source:ZFIN;Acc:ZDB-GENE-141222-23]
si:dkey-241f8.1 [Source:ZFIN;Acc:ZDB-GENE-141222-23]
si:dkeyp-53d3.6 [Source:ZFIN;Acc:ZDB-GENE-050208-390]
si:ch1073-80i24.1 [Source:ZFIN;Acc:ZDB-GENE-131121-169]
si:ch1073-80i24.1 [Source:ZFIN;Acc:ZDB-GENE-131121-169]
si:ch211-197k14.2 [Source:ZFIN;Acc:ZDB-GENE-141216-298]
si:dkey-6d5.3 [Source:ZFIN;Acc:ZDB-GENE-141216-195]
si:ch211-134a4.7 [Source:ZFIN;Acc:ZDB-GENE-131121-495]
si:dkey-6d5.5 [Source:ZFIN;Acc:ZDB-GENE-141216-121]
si:ch211-128n12.3 [Source:ZFIN;Acc:ZDB-GENE-141216-269]
si:ch211-128n12.4 [Source:ZFIN;Acc:ZDB-GENE-141216-264]
si:ch211-281o13.1 [Source:ZFIN;Acc:ZDB-GENE-130603-76]
si:dkey-179o14.4 [Source:ZFIN;Acc:ZDB-GENE-110411-51]
si:zfos-754c12.1 [Source:ZFIN;Acc:ZDB-GENE-130531-37]
si:zfos-754c12.1 [Source:ZFIN;Acc:ZDB-GENE-130531-37]
si:ch73-31a8.3 [Source:ZFIN;Acc:ZDB-GENE-141216-474]
si:ch73-329g8.2 [Source:ZFIN;Acc:ZDB-GENE-131121-123]
microRNA let7f [Source:ZFIN;Acc:ZDB-GENE-081203-16]
si:ch211-217n8.6 [Source:ZFIN;Acc:ZDB-GENE-131121-8]
si:ch211-128n12.1 [Source:ZFIN;Acc:ZDB-GENE-141216-399]
microRNA let7a-1 [Source:ZFIN;Acc:ZDB-GENE-041217-3]
microRNA let7a-1 [Source:ZFIN;Acc:ZDB-GENE-041217-3]
si:ch211-195e19.3 [Source:ZFIN;Acc:ZDB-GENE-141216-154]
si:ch211-190d13.1 [Source:ZFIN;Acc:ZDB-GENE-121214-247]
si:dkey-6a5.10 [Source:ZFIN;Acc:ZDB-GENE-110914-173]
si:dkey-71b5.6 [Source:ZFIN;Acc:ZDB-GENE-100922-111]
si:dkey-71b5.6 [Source:ZFIN;Acc:ZDB-GENE-100922-111]
si:dkey-288c23.2 [Source:ZFIN;Acc:ZDB-GENE-131125-62]
si:dkey-288c23.2 [Source:ZFIN;Acc:ZDB-GENE-131125-62]
si:dkey-31e10.4 [Source:ZFIN;Acc:ZDB-GENE-141212-317]
si:dkey-176g1.4 [Source:ZFIN;Acc:ZDB-GENE-120215-218]
si:ch211-159m16.4 [Source:ZFIN;Acc:ZDB-GENE-141216-288]
si:ch211-237d5.5 [Source:ZFIN;Acc:ZDB-GENE-131127-376]
si:ch211-128n12.5 [Source:ZFIN;Acc:ZDB-GENE-141222-50]
si:ch211-128n12.5 [Source:ZFIN;Acc:ZDB-GENE-141222-50]
si:ch211-128n12.5 [Source:ZFIN;Acc:ZDB-GENE-141222-50]
si:ch211-114n24.7 [Source:ZFIN;Acc:ZDB-GENE-050208-65]
si:ch211-91g3.4 [Source:ZFIN;Acc:ZDB-GENE-050419-143]
si:dkey-66d18.2 [Source:ZFIN;Acc:ZDB-GENE-131127-404]
si:dkey-166k9.2 [Source:ZFIN;Acc:ZDB-GENE-041014-343]
si:dkey-97i18.7 [Source:ZFIN;Acc:ZDB-GENE-131127-394]
si:ch211-202g13.2 [Source:ZFIN;Acc:ZDB-GENE-141216-364]
si:ch211-229o8.4 [Source:ZFIN;Acc:ZDB-GENE-120215-162]
si:dkey-13n23.4 [Source:ZFIN;Acc:ZDB-GENE-120215-168]
si:ch73-49o18.2 [Source:ZFIN;Acc:ZDB-GENE-141212-326]
si:dkey-234i14.21 [Source:ZFIN;Acc:ZDB-GENE-131120-51]
si:ch73-190f9.7 [Source:ZFIN;Acc:ZDB-GENE-141216-350]
si:dkey-118j18.3 [Source:ZFIN;Acc:ZDB-GENE-120709-47]
si:dkey-118j18.3 [Source:ZFIN;Acc:ZDB-GENE-120709-47]
si:dkey-118j18.3 [Source:ZFIN;Acc:ZDB-GENE-120709-47]
si:dkey-118j18.3 [Source:ZFIN;Acc:ZDB-GENE-120709-47]
si:dkey-118j18.3 [Source:ZFIN;Acc:ZDB-GENE-120709-47]
si:dkey-148f24.3 [Source:ZFIN;Acc:ZDB-GENE-061207-50]
si:dkey-23a13.13 [Source:ZFIN;Acc:ZDB-GENE-160113-1]
si:dkey-23a13.13 [Source:ZFIN;Acc:ZDB-GENE-160113-1]
si:dkey-23a13.13 [Source:ZFIN;Acc:ZDB-GENE-160113-1]
si:dkey-23a13.13 [Source:ZFIN;Acc:ZDB-GENE-160113-1]
si:dkey-23a13.13 [Source:ZFIN;Acc:ZDB-GENE-160113-1]
si:dkey-23a13.13 [Source:ZFIN;Acc:ZDB-GENE-160113-1]
si:dkey-51d8.8 [Source:ZFIN;Acc:ZDB-GENE-110914-238]
si:dkey-51d8.8 [Source:ZFIN;Acc:ZDB-GENE-110914-238]
si:dkey-51d8.8 [Source:ZFIN;Acc:ZDB-GENE-110914-238]
si:dkey-71b5.2 [Source:ZFIN;Acc:ZDB-GENE-100922-273]
si:dkey-71b5.2 [Source:ZFIN;Acc:ZDB-GENE-100922-273]
si:dkey-187k19.1 [Source:ZFIN;Acc:ZDB-GENE-131127-577]
si:ch211-205p4.1 [Source:ZFIN;Acc:ZDB-GENE-110411-153]
si:dkey-52j6.2 [Source:ZFIN;Acc:ZDB-GENE-121214-191]
si:ch211-205p4.2 [Source:ZFIN;Acc:ZDB-GENE-160113-10]
si:ch211-225l7.1 [Source:ZFIN;Acc:ZDB-GENE-141216-270]
si:ch211-268b10.1 [Source:ZFIN;Acc:ZDB-GENE-131127-410]
si:ch211-196l11.1 [Source:ZFIN;Acc:ZDB-GENE-141216-401]
si:dkey-33c14.2 [Source:ZFIN;Acc:ZDB-GENE-131127-237]
si:ch211-126h24.1 [Source:ZFIN;Acc:ZDB-GENE-131121-426]
si:dkey-33c14.3 [Source:ZFIN;Acc:ZDB-GENE-131121-627]
si:ch211-209o12.2 [Source:ZFIN;Acc:ZDB-GENE-131127-424]
si:ch211-209o12.2 [Source:ZFIN;Acc:ZDB-GENE-131127-424]
si:dkey-23h22.1 [Source:ZFIN;Acc:ZDB-GENE-131127-305]
si:ch73-374j17.3 [Source:ZFIN;Acc:ZDB-GENE-131121-208]
si:ch211-114l13.11 [Source:ZFIN;Acc:ZDB-GENE-070424-111]
si:ch211-114l13.11 [Source:ZFIN;Acc:ZDB-GENE-070424-111]
si:dkey-33c14.4 [Source:ZFIN;Acc:ZDB-GENE-131121-634]
si:dkey-39c10.2 [Source:ZFIN;Acc:ZDB-GENE-131121-224]
si:dkey-35i15.3 [Source:ZFIN;Acc:ZDB-GENE-141212-393]
si:dkeyp-10a3.2 [Source:ZFIN;Acc:ZDB-GENE-060526-360]
si:ch1073-100e22.1 [Source:ZFIN;Acc:ZDB-GENE-141216-496]
si:dkey-1h6.6 [Source:ZFIN;Acc:ZDB-GENE-070705-348]
si:dkey-118j18.4 [Source:ZFIN;Acc:ZDB-GENE-120709-75]
si:dkey-118j18.4 [Source:ZFIN;Acc:ZDB-GENE-120709-75]
si:dkey-117p4.1 [Source:ZFIN;Acc:ZDB-GENE-131127-303]
si:ch211-145n14.3 [Source:ZFIN;Acc:ZDB-GENE-131127-407]
si:ch73-338d8.4 [Source:ZFIN;Acc:ZDB-GENE-141212-174]
si:dkey-176g1.6 [Source:ZFIN;Acc:ZDB-GENE-120215-87]
si:dkey-263b2.3 [Source:ZFIN;Acc:ZDB-GENE-130603-28]
si:dkey-263b2.2 [Source:ZFIN;Acc:ZDB-GENE-130531-55]
si:ch211-150g5.4 [Source:ZFIN;Acc:ZDB-GENE-131127-268]
si:dkey-148f24.5 [Source:ZFIN;Acc:ZDB-GENE-061207-51]
si:dkey-218h11.8 [Source:ZFIN;Acc:ZDB-GENE-131127-624]
si:dkey-256i11.4 [Source:ZFIN;Acc:ZDB-GENE-110914-237]
si:ch211-162i8.6 [Source:ZFIN;Acc:ZDB-GENE-110914-222]
si:dkey-2j6.5 [Source:ZFIN;Acc:ZDB-GENE-060531-136]
microRNA 196c [Source:ZFIN;Acc:ZDB-GENE-050712-1]
microRNA 196c [Source:ZFIN;Acc:ZDB-GENE-050712-1]
si:ch211-66i8.3 [Source:ZFIN;Acc:ZDB-GENE-131120-31]
si:ch211-66i8.3 [Source:ZFIN;Acc:ZDB-GENE-131120-31]
si:ch211-112k3.2 [Source:ZFIN;Acc:ZDB-GENE-061207-3]
si:ch211-155a19.2 [Source:ZFIN;Acc:ZDB-GENE-070705-52]
si:ch73-89i23.6 [Source:ZFIN;Acc:ZDB-GENE-160728-44]
si:dkey-11e6.7 [Source:ZFIN;Acc:ZDB-GENE-131126-66]
si:ch1073-261d9.1 [Source:ZFIN;Acc:ZDB-GENE-141216-152]
si:ch73-89i23.5 [Source:ZFIN;Acc:ZDB-GENE-160728-45]
si:ch211-220l16.2 [Source:ZFIN;Acc:ZDB-GENE-120215-195]
si:ch211-196c10.5 [Source:ZFIN;Acc:ZDB-GENE-081105-112]
si:dkey-36h5.1 [Source:ZFIN;Acc:ZDB-GENE-131127-489]
si:dkey-36h5.1 [Source:ZFIN;Acc:ZDB-GENE-131127-489]
si:dkey-64i20.1 [Source:ZFIN;Acc:ZDB-GENE-131127-229]
si:dkey-97l11.2 [Source:ZFIN;Acc:ZDB-GENE-141216-380]
si:dkeyp-22c6.1 [Source:ZFIN;Acc:ZDB-GENE-120215-65]
si:dkeyp-79b7.13 [Source:ZFIN;Acc:ZDB-GENE-141216-222]
si:dkey-81p22.12 [Source:ZFIN;Acc:ZDB-GENE-061207-79]
si:dkey-1n7.1 [Source:ZFIN;Acc:ZDB-GENE-120215-230]
si:ch73-186j5.4 [Source:ZFIN;Acc:ZDB-GENE-070705-216]
si:dkey-13k17.1 [Source:ZFIN;Acc:ZDB-GENE-110411-184]
si:ch73-248h21.1 [Source:ZFIN;Acc:ZDB-GENE-141216-391]
si:ch73-89i23.1 [Source:ZFIN;Acc:ZDB-GENE-141216-396]
si:dkey-13k17.2 [Source:ZFIN;Acc:ZDB-GENE-131127-567]
si:rp71-82p7.1 [Source:ZFIN;Acc:ZDB-GENE-141216-319]
si:dkey-105i19.5 [Source:ZFIN;Acc:ZDB-GENE-131121-440]
si:dkey-105i19.5 [Source:ZFIN;Acc:ZDB-GENE-131121-440]
si:dkeyp-9a1.3 [Source:ZFIN;Acc:ZDB-GENE-131120-144]
zgc:195356 [Source:ZFIN;Acc:ZDB-GENE-030131-6619]
si:ch211-173b9.5 [Source:ZFIN;Acc:ZDB-GENE-120215-117]
si:dkey-36h5.2 [Source:ZFIN;Acc:ZDB-GENE-131126-44]
si:dkey-36h5.2 [Source:ZFIN;Acc:ZDB-GENE-131126-44]
si:dkey-261e22.5 [Source:ZFIN;Acc:ZDB-GENE-120709-87]
si:ch73-49p17.1 [Source:ZFIN;Acc:ZDB-GENE-081107-45]
si:ch73-49p17.1 [Source:ZFIN;Acc:ZDB-GENE-081107-45]
si:ch211-198c1.8 [Source:ZFIN;Acc:ZDB-GENE-141212-351]
si:dkey-182i1.1 [Source:ZFIN;Acc:ZDB-GENE-131127-454]
si:dkeyp-9a1.2 [Source:ZFIN;Acc:ZDB-GENE-131121-144]
si:dkeyp-9a1.2 [Source:ZFIN;Acc:ZDB-GENE-131121-144]
si:dkeyp-9a1.2 [Source:ZFIN;Acc:ZDB-GENE-131121-144]
si:dkeyp-9a1.2 [Source:ZFIN;Acc:ZDB-GENE-131121-144]
si:dkey-27p2.1 [Source:ZFIN;Acc:ZDB-GENE-131127-123]
si:dkey-145c18.6 [Source:ZFIN;Acc:ZDB-GENE-081104-311]
si:dkey-237p10.2 [Source:ZFIN;Acc:ZDB-GENE-131125-11]
si:ch211-267d1.1 [Source:ZFIN;Acc:ZDB-GENE-120215-93]
si:dkey-23f9.15 [Source:ZFIN;Acc:ZDB-GENE-141216-277]
si:dkey-237j11.4 [Source:ZFIN;Acc:ZDB-GENE-160113-61]
si:ch211-187b9.2 [Source:ZFIN;Acc:ZDB-GENE-131121-467]
si:ch211-172e9.1 [Source:ZFIN;Acc:ZDB-GENE-131121-637]
si:dkey-45k15.3 [Source:ZFIN;Acc:ZDB-GENE-141216-344]
si:dkeyp-86b9.5 [Source:ZFIN;Acc:ZDB-GENE-131121-109]
si:ch211-255f14.2 [Source:ZFIN;Acc:ZDB-GENE-131127-216]
si:dkey-181i3.8 [Source:ZFIN;Acc:ZDB-GENE-121214-267]
si:dkey-206d17.5 [Source:ZFIN;Acc:ZDB-GENE-081104-358]
si:dkey-96g2.4 [Source:ZFIN;Acc:ZDB-GENE-131127-553]
si:dkeyp-9a1.7 [Source:ZFIN;Acc:ZDB-GENE-131120-124]
si:dkeyp-9a1.7 [Source:ZFIN;Acc:ZDB-GENE-131120-124]
si:dkeyp-9a1.7 [Source:ZFIN;Acc:ZDB-GENE-131120-124]
si:dkeyp-9a1.7 [Source:ZFIN;Acc:ZDB-GENE-131120-124]
si:ch73-249k16.3 [Source:ZFIN;Acc:ZDB-GENE-091204-141]
